Scraped date,Type,Movie Title,Release Year,Hash,Cast
01-01-2018,Recently Added,Swordfish,2001,"{""amazon""=>[""B000HF0KXU""], ""itunes""=>[""301120106""]}","[""Dominic Sena"", ""John Travolta"", ""Hugh Jackman"", ""Halle Berry"", ""Don Cheadle"", ""Sam Shepard"", ""Vinnie Jones"", ""Drea de Matteo"", ""Rudolf Martin"", ""Zach Grenier"", ""Camryn Grimes"", ""Angelo Pagan"", ""Chic Daniel""]"
01-01-2018,Recently Added,Zoolander 2,2016,"{""hulu""=>[""1010437""], ""amazon""=>[""B01BLZGZL0""], ""vudu""=>[""734982""], ""itunes""=>[""1077824273""]}","[""Ben Stiller"", ""Ben Stiller"", ""Owen Wilson"", ""Will Ferrell"", ""Penélope Cruz"", ""Kristen Wiig"", ""Fred Armisen"", ""Kyle Mooney"", ""Milla Jovovich"", ""Christine Taylor"", ""Justin Theroux"", ""Nathan Lee Graham"", ""Cyrus Arnold""]"
01-01-2018,Recently Added,An Officer and a Gentleman,1982,"{""amazon""=>[""B000ZFYU0Q""], ""vudu""=>[""17107""], ""itunes""=>[""268132770""]}","[""Taylor Hackford"", ""Richard Gere"", ""Debra Winger"", ""Louis Gossett, Jr."", ""David Keith"", ""Robert Loggia"", ""Lisa Blount"", ""Lisa Eilbacher"", ""Harold Sylvester"", ""David Caruso"", ""Grace Zabriskie"", ""Tony Plana"", ""Victor French""]"
01-01-2018,Recently Added,Planet Hulk,2010,"{""amazon""=>[""B0032VZ176""], ""vudu""=>[""175261"", ""175261""], ""itunes""=>[""338780897""]}","[""Sam Liu"", ""Rick D. Wasserman"", ""Marc Worden"", ""Mark Hildreth"", ""Kevin Michael Richardson"", ""Sam Vincent"", ""Lisa Ann Beley"", ""Advah Soudack"", ""Michael Kopsa"", ""Liam O'Brien""]"
01-01-2018,Recently Added,Reign Over Me,2007,"{""vudu""=>[""128947""], ""itunes""=>[""271253217""]}","[""Mike Binder"", ""Adam Sandler"", ""Don Cheadle"", ""Jada Pinkett Smith"", ""Liv Tyler"", ""Saffron Burrows"", ""Donald Sutherland"", ""Robert Klein"", ""Melinda Dillon"", ""Mike Binder"", ""Jonathan Banks"", ""Rae Allen"", ""Paula Newsome""]"
01-01-2018,Recently Added,JLA Adventures: Trapped in Time,2014,"{""amazon""=>[""B00KG2NYHI""], ""vudu""=>[""531298""], ""itunes""=>[""873098066""]}","[""Giancarlo Volpe"", ""Diedrich Bader"", ""Laura Bailey"", ""Dante Basco"", ""Grey Griffin"", ""Kevin Michael Richardson"", ""Peter Jessop"", ""Liam O'Brien"", ""Jason Spisak""]"
01-01-2018,Recently Added,Get Low,2010,"{""amazon""=>[""B004R0VBM0""], ""vudu""=>[""185958""], ""itunes""=>[""414610008""]}","[""Aaron Schneider"", ""Bill Murray"", ""Sissy Spacek"", ""Robert Duvall"", ""Lucas Black"", ""Bill Cobbs"", ""Gerald McRaney"", ""Scott Cooper"", ""Chandler Riggs""]"
01-01-2018,Recently Added,Bully,2011,"{""itunes""=>[""1223549274""]}","[""Lee Hirsch"", ""David Long""]"
01-01-2018,Recently Added,Zombie Massacre,2013,"{""amazon""=>[""B00ECTWJA4""], ""vudu""=>[""406036""], ""itunes""=>[""662142004""]}","[""Marco Ristori"", ""Christian Boeving"", ""Mike Mitchell"", ""Tara Cardinal"", ""Ivy Corbin"", ""Carl Wharton"", ""Jon Campling"", ""Daniel Vivian"", ""Gerry Shanahan"", ""Nathalia Henao"", ""David White"", ""Uwe Boll""]"
01-01-2018,Recently Added,White Tiger,2012,"{""itunes""=>[""918351219""]}","[""Karen Shakhnazarov"", ""Vladimir Ilin"", ""Gerasim Arkhipov"", ""Aleksandr Vakhov"", ""Vilmar Bieri"", ""Dmitri Bykovsky"", ""Vitaliy Dordzhiev"", ""Klaus Grünberg"", ""Dmitriy Kalyazin"", ""Yuriy Kirshev"", ""Karl Kranzkowski"", ""Andrey Myasnikov"", ""Leonid Orlov""]"
01-01-2018,Recently Added,Pirates of the 20th Century,1980,"{""amazon""=>[""B0721136NY""], ""itunes""=>[""1141423521""]}","[""Boris Durov"", ""Nikolai Yeryomenko Ml."", ""Pyotr Velyaminov"", ""Talgat Nigmatulin"", ""Georgi Martirosyan"", ""Vladimir Episkoposyan""]"
01-01-2018,Recently Added,Johnny 316,1998,"{""itunes""=>[""689599697""]}","[""Erick Ifergan"", ""Vincent Gallo"", ""Nina Brosh"", ""Seymour Cassel"", ""Louise Fletcher""]"
01-01-2018,Recently Added,Now You See Me 2,2016,"{""amazon""=>[""B01GPH6QOU""], ""itunes""=>[""1117669501""], ""vudu""=>[""761101""]}","[""Jon M. Chu"", ""Jesse Eisenberg"", ""Woody Harrelson"", ""Mark Ruffalo"", ""Dave Franco"", ""Morgan Freeman"", ""Michael Caine"", ""Lizzy Caplan"", ""Daniel Radcliffe"", ""Jay Chou"", ""Henry Lloyd-Hughes"", ""Sanaa Lathan"", ""Justine Wachsberger""]"
01-01-2018,Recently Added,13 Hours: The Secret Soldiers of Benghazi,2016,"{""hulu""=>[""1010449""], ""amazon""=>[""B01AIW6KZS""], ""vudu""=>[""735269"", ""735269""]}","[""Michael Bay"", ""James Badge Dale"", ""John Krasinski"", ""Max Martini"", ""Pablo Schreiber"", ""Toby Stephens"", ""Dominic Fumusa"", ""Matt Letscher"", ""David Denman"", ""Alexia Barlier"", ""Freddie Stroma"", ""David Costabile"", ""Payman Maadi""]"
