Scraped date,Type,Series Title,Release Year,Season_Number,Episode_Number,Episode_Title,Hash
27-02-2018,Recently Added,Breaking Bad,2008,5,16,Felina,"{""netflixusa""=>[""70143836""]}"
27-02-2018,Recently Added,Breaking Bad,2008,5,16,Felina,"{""netflixusa""=>[""70143836""]}"
27-02-2018,Recently Added,The Blacklist,2013,5,13,The Invisible Hand,"{""amazon""=>[""B079NTGDZ7""], ""itunes""=>[""1346135884""], ""vudu""=>[""923319""]}"
27-02-2018,Recently Added,The Blacklist,2013,5,13,The Invisible Hand,"{""amazon""=>[""B079NTGDZ7""], ""itunes""=>[""1346135884""], ""vudu""=>[""923319""]}"
27-02-2018,Recently Added,The Blacklist,2013,5,13,The Invisible Hand,"{""amazon""=>[""B079NTGDZ7""], ""itunes""=>[""1346135884""], ""vudu""=>[""923319""]}"
27-02-2018,Recently Added,The Blacklist,2013,5,13,The Invisible Hand,"{""amazon""=>[""B079NTGDZ7""], ""itunes""=>[""1346135884""], ""vudu""=>[""923319""]}"
27-02-2018,Recently Added,Top Gear,2002,24,7,Episode 7,"{""amazon""=>[""B072523PBV""], ""vudu""=>[""851200""]}"
27-02-2018,Recently Added,Married... with Children,1987,11,24,Chicago Shoe Exchange,"{""itunes""=>[""565635149""], ""amazon""=>[""B00HAWAX4O""], ""vudu""=>[""309833""]}"
27-02-2018,Recently Added,The Goldbergs,2013,5,14,The Goldbergs: 1990-Something,{}
27-02-2018,Recently Added,Silent Witness,1996,21,10,"Family, Part Two","{""amazon""=>[""B079ZY4X5M""], ""itunes""=>[""1347034627""]}"
27-02-2018,Recently Added,The Goldbergs,2013,5,14,The Goldbergs: 1990-Something,{}
27-02-2018,Recently Added,The Night Shift,2014,4,10,Resurgence,"{""amazon""=>[""B0759GM685""], ""vudu""=>[""872638""]}"
27-02-2018,Recently Added,Lovesick,2014,3,8,Evie (Part Two),"{""netflixusa""=>[""80041601""]}"
27-02-2018,Recently Added,Tales of Zestiria the X,2016,2,13,Episode 13,"{""itunes""=>[""1346409130""]}"
27-02-2018,Recently Added,Rebecka Martinsson,2017,1,8,As a victim of Molok 2,"{""amazon""=>[""B0774ZRWNL""], ""itunes""=>[""1331073021""]}"
27-02-2018,Recently Added,For The People,2018,1,1,Pilot,{}
27-02-2018,Recently Added,Life Sentence,2018,1,1,Pilot,{}
27-02-2018,Recently Added,How the West Was Won,1976,3,11,The Slavers,"{""amazon""=>[""B079ZN5DHC""], ""itunes""=>[""1350082801""]}"
27-02-2018,Recently Added,Up the Women,2013,2,6,Panto,{}
27-02-2018,Recently Added,Up the Women,2013,2,6,Panto,{}
27-02-2018,Recently Added,Supermansion,2015,2,9,Logs Day Journey Into Night,"{""amazon""=>[""B07B1TF54Q""], ""itunes""=>[""1348204190""]}"
27-02-2018,Recently Added,Glee,2009,6,13,Dreams Come True,"{""netflixusa""=>[""70143843""]}"
27-02-2018,Recently Added,Glee,2009,6,13,Dreams Come True,"{""netflixusa""=>[""70143843""]}"
27-02-2018,Recently Added,"Kokkoku, Moment by Moment",2018,1,8,Episode 8,"{""amazon""=>[""B07B1NMT71""]}"
27-02-2018,Recently Added,Rowan & Martin's Laugh-In,1968,6,24,Episode #140,"{""amazon""=>[""B079Z17NPC"", ""B079Z17NPC""]}"
27-02-2018,Recently Added,LA Ink,2007,3,13,The Final Showdown,"{""amazon""=>[""B007MWMDZE""]}"
27-02-2018,Recently Added,My Strange Addiction,2010,6,7,Top 10 Most Shocking,{}
27-02-2018,Recently Added,Seinfeld,1989,9,22,The Clip Show (Part 2),{}
27-02-2018,Recently Added,Close Up with The Hollywood Reporter,2015,3,13,Cinematographers,{}
27-02-2018,Recently Added,Teen Titans Go!,2013,4,15,Episode 15,"{""amazon""=>[""B06XJQNTHX""], ""itunes""=>[""1214392634""], ""vudu""=>[""821657""]}"
27-02-2018,Recently Added,Basilisk: The Ouka Ninja Scrolls,2018,1,8,Episode 8,{}
27-02-2018,Recently Added,Fox News Sunday,1996,1,8,"Season 1, Episode 8",{}
27-02-2018,Recently Added,Crashing,2017,2,7,Naca,{}
27-02-2018,Recently Added,Last Week Tonight with John Oliver,2014,5,2,Italian Election,{}
27-02-2018,Recently Added,Divorce,2016,2,8,"Alone Again, Naturally",{}
27-02-2018,Recently Added,Here and Now,2018,1,3,If a Deer Sh*ts in the Woods,{}
27-02-2018,Recently Added,Homeland,2011,7,7,Andante,{}
27-02-2018,Recently Added,The Chi,2018,1,7,The Whistle,"{""showtime""=>[""3451921""]}"
27-02-2018,Recently Added,Our Cartoon President,2018,1,4,Family Leave,"{""showtime""=>[""3456348""]}"
27-02-2018,Recently Added,La guerre des clans,2009,4,1,Episode 1,"{""vudu""=>[""921405""]}"
