Air Date,Service,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Rovi ID,Air Date UTC Time,Ozone Timestamp created,Result
"22:00 Sep 05, 2017",hbogo,Hard Knocks,"Aug 01, 2001",12,05,Training Camp with the Tampa Bay Buccaneers - #5,"","","",To be verified
"22:00 Sep 05, 2017",hbonow,Hard Knocks,"Aug 01, 2001",12,05,Training Camp with the Tampa Bay Buccaneers - #5,"","","",To be verified
"22:00 Jan 27, 2017",hbogo,Real Time With Bill Maher,"Feb 21, 2003",15,26,Episode 436 (+1 more),"","","",To be verified
"22:00 Jan 27, 2017",hbonow,Real Time With Bill Maher,"Feb 21, 2003",15,26,Episode 436 (+1 more),"","","",To be verified
"22:00 Jan 27, 2017",hbogo,Real Time With Bill Maher,"Feb 21, 2003",15,Special,Episode 436 (+1 more),"","","",To be verified
"22:00 Jan 27, 2017",hbonow,Real Time With Bill Maher,"Feb 21, 2003",15,Special,Episode 436 (+1 more),"","","",To be verified
"23:00 Jan 27, 2017",hbogo,Vice,"Apr 05, 2013",5,24,VICE 78,"","","",To be verified
"23:00 Jan 27, 2017",hbonow,Vice,"Apr 05, 2013",5,24,VICE 78,"","","",To be verified
"23:30 Jan 27, 2017",hbogo,Room 104,"Jul 28, 2017",1,07,The Missionaries,"","","",To be verified
"23:30 Jan 27, 2017",hbonow,Room 104,"Jul 28, 2017",1,07,The Missionaries,"","","",To be verified
"21:00 Jan 27, 2017",hbogo,The Deuce,"Sep 10, 2017",1,01,Pilot,"","","",To be verified
"21:00 Jan 27, 2017",hbonow,The Deuce,"Sep 10, 2017",1,01,Pilot,"","","",To be verified
"22:00 Jan 27, 2017",hbogo,Ballers (2015),"Jun 21, 2015",3,08,Alley-Oops,"","","",To be verified
"22:00 Jan 27, 2017",hbonow,Ballers (2015),"Jun 21, 2015",3,08,Alley-Oops,"","","",To be verified
"22:30 Jan 27, 2017",hbogo,Insecure,"Oct 09, 2016",2,08,Hella Perspective,"","","",To be verified
"22:30 Jan 27, 2017",hbonow,Insecure,"Oct 09, 2016",2,08,Hella Perspective,"","","",To be verified
"23:00 Jan 27, 2017",hbogo,Last Week Tonight With John Oliver,"Apr 27, 2014",4,23,Episode 112,"","","",To be verified
"23:00 Jan 27, 2017",hbonow,Last Week Tonight With John Oliver,"Apr 27, 2014",4,23,Episode 112,"","","",To be verified
"00:00 Sep 08, 2017",netflixusa,Chelsea,"May 11, 2016",2,18,Episode #2.18,"","","",To be verified
"00:01 Sep 08, 2017",netflixusa,BoJack Horseman,"Aug 22, 2014",4,01,TBA (+11 more),"","","",To be verified
"00:01 Sep 08, 2017",netflixusa,BoJack Horseman,"Aug 22, 2014",4,02,TBA (+11 more),"","","",To be verified
"00:01 Sep 08, 2017",netflixusa,BoJack Horseman,"Aug 22, 2014",4,03,TBA (+11 more),"","","",To be verified
"00:01 Sep 08, 2017",netflixusa,BoJack Horseman,"Aug 22, 2014",4,04,TBA (+11 more),"","","",To be verified
"00:01 Sep 08, 2017",netflixusa,BoJack Horseman,"Aug 22, 2014",4,05,TBA (+11 more),"","","",To be verified
"00:01 Sep 08, 2017",netflixusa,BoJack Horseman,"Aug 22, 2014",4,06,TBA (+11 more),"","","",To be verified
"00:01 Sep 08, 2017",netflixusa,BoJack Horseman,"Aug 22, 2014",4,07,TBA (+11 more),"","","",To be verified
"00:01 Sep 08, 2017",netflixusa,BoJack Horseman,"Aug 22, 2014",4,08,TBA (+11 more),"","","",To be verified
"00:01 Sep 08, 2017",netflixusa,BoJack Horseman,"Aug 22, 2014",4,09,TBA (+11 more),"","","",To be verified
"00:01 Sep 08, 2017",netflixusa,BoJack Horseman,"Aug 22, 2014",4,10,TBA (+11 more),"","","",To be verified
"00:01 Sep 08, 2017",netflixusa,BoJack Horseman,"Aug 22, 2014",4,11,TBA (+11 more),"","","",To be verified
"00:01 Sep 08, 2017",netflixusa,BoJack Horseman,"Aug 22, 2014",4,12,TBA (+11 more),"","","",To be verified
