Air Date,Service,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Rovi ID,Air Date UTC Time,Ozone Timestamp created,Result
Air Date,Service,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Rovi ID,Air Date UTC Time,Ozone Timestamp created,Result
2018-02-16 22:00,hbogo,Real Time With Bill Maher,2003,16,05,Episode 450,"","","",To be verified
2018-02-16 22:00,hbonow,Real Time With Bill Maher,2003,16,05,Episode 450,"","","",To be verified
2018-02-16 23:00,hbogo,High Maintenance (2016),2016,2,05,Scromple,"","","",To be verified
2018-02-16 23:00,hbonow,High Maintenance (2016),2016,2,05,Scromple,"","","",To be verified
2018-02-16 23:30,hbogo,2 Dope Queens,2018,1,03,Hot Peen,"","","",To be verified
2018-02-16 23:30,hbonow,2 Dope Queens,2018,1,03,Hot Peen,"","","",To be verified
2018-02-18 21:00,hbogo,Here and Now,2018,1,02,It's Coming,"","","",To be verified
2018-02-18 21:00,hbonow,Here and Now,2018,1,02,It's Coming,"","","",To be verified
2018-02-18 22:00,hbogo,Divorce (US),2016,2,06,Losing It,"","","",To be verified
2018-02-18 22:00,hbonow,Divorce (US),2016,2,06,Losing It,"","","",To be verified
2018-02-18 22:30,hbogo,Crashing (HBO),2017,2,06,Artie,"","","",To be verified
2018-02-18 22:30,hbonow,Crashing (HBO),2017,2,06,Artie,"","","",To be verified
2018-02-18 23:00,hbogo,Last Week Tonight With John Oliver,2014,5,01,Episode 120,"","","",To be verified
2018-02-18 23:00,hbonow,Last Week Tonight With John Oliver,2014,5,01,Episode 120,"","","",To be verified
2018-02-14 03:00,netflixusa,Greenhouse Academy,2017,2,01,Episode 1,"","","",To be verified
2018-02-16 00:00,netflixusa,DreamWorks Dragons,2012,8,01,Episode 1,"","","",To be verified
2018-02-16 00:00,netflixusa,DreamWorks Dragons,2012,8,02,Episode 2,"","","",To be verified
2018-02-16 00:00,netflixusa,DreamWorks Dragons,2012,8,03,Episode 3,"","","",To be verified
2018-02-16 00:00,netflixusa,DreamWorks Dragons,2012,8,04,Episode 4,"","","",To be verified
2018-02-16 00:00,netflixusa,DreamWorks Dragons,2012,8,05,Episode 5,"","","",To be verified
2018-02-16 00:00,netflixusa,DreamWorks Dragons,2012,8,06,Episode 6,"","","",To be verified
2018-02-16 00:00,netflixusa,DreamWorks Dragons,2012,8,07,Episode 7,"","","",To be verified
2018-02-16 00:00,netflixusa,DreamWorks Dragons,2012,8,08,Episode 8,"","","",To be verified
2018-02-16 00:00,netflixusa,DreamWorks Dragons,2012,8,09,Episode 9,"","","",To be verified
2018-02-16 00:00,netflixusa,DreamWorks Dragons,2012,8,10,Episode 10,"","","",To be verified
2018-02-16 00:00,netflixusa,DreamWorks Dragons,2012,8,11,Episode 11,"","","",To be verified
2018-02-16 00:00,netflixusa,DreamWorks Dragons,2012,8,12,Episode 12,"","","",To be verified
2018-02-16 00:00,netflixusa,DreamWorks Dragons,2012,8,13,Episode 13,"","","",To be verified
2018-02-18 16:00,netflixusa,The Joel McHale Show with Joel McHale,2018,1,01,"February 18, 2018","","","",To be verified
2018-02-16 21:00,showtime,The Trade,2018,1,03,Episode 3,"","","",To be verified
2018-02-16 21:00,showtimeanytime,The Trade,2018,1,03,Episode 3,"","","",To be verified
2018-02-18 20:00,showtime,Our Cartoon President,2018,1,03,Rolling Back Obama,"","","",To be verified
2018-02-18 20:00,showtimeanytime,Our Cartoon President,2018,1,03,Rolling Back Obama,"","","",To be verified
2018-02-18 21:00,showtime,Homeland,2011,7,02,Rebel Rebel,"","","",To be verified
2018-02-18 21:00,showtimeanytime,Homeland,2011,7,02,Rebel Rebel,"","","",To be verified
2018-02-18 22:00,showtime,The Chi,2018,1,06,Penetrate A Fraud,"","","",To be verified
2018-02-18 22:00,showtimeanytime,The Chi,2018,1,06,Penetrate A Fraud,"","","",To be verified
2018-02-14 00:01,hulu,The Path,2016,3,07,The Gardens at Giverny,"","","",To be verified
