Star Wars: A New Hope,Average Rating: 8.6/10,1977,"{""itunes""=>[""978943481""]}",Action & Adventure,"[""Mark Hamill"", ""Harrison Ford"", ""Carrie Fisher"", ""Peter Cushing"", ""Alec Guinness"", ""Anthony Daniels"", ""Kenny Baker"", ""Peter Mayhew"", ""David Prowse"", ""James Earl Jones"", ""Jack Purvis"", ""Eddie Byrne""]","[""Gary Kurtz""]","[""George Lucas""]"
Star Wars: The Empire Strikes Back,Average Rating: 8.9/10,1980,"{""itunes""=>[""975793398""]}",Action & Adventure,"[""Mark Hamill"", ""Harrison Ford"", ""Carrie Fisher"", ""Billy Dee Williams"", ""Anthony Daniels"", ""David Prowse"", ""Peter Mayhew"", ""Kenny Baker"", ""Frank Oz"", ""Alec Guinness"", ""Jeremy Bulloch"", ""Kenneth Colley"", """"]","[""Gary Kurtz""]","[""Irvin Kershner""]"
Star Wars: Return of the Jedi,Average Rating: 7.2/10,1983,"{""itunes""=>[""976965981""]}",Action & Adventure,"[""Mark Hamill"", ""Harrison Ford"", ""Carrie Fisher"", ""Billy Dee Williams"", ""Anthony Daniels"", ""Peter Mayhew"", ""Sebastian Shaw"", ""Ian McDiarmid"", ""Frank Oz"", ""James Earl Jones"", ""David Prowse"", ""Alec Guinness"", """", """", """", """", """"]","[""Howard Kazanjian""]","[""Richard Marquand""]"
Star Wars: The Phantom Menace,Average Rating: 6.0/10,1999,"{""itunes""=>[""975080816""]}",Action & Adventure,"[""Liam Neeson"", ""Ewan McGregor"", ""Natalie Portman"", ""Jake Lloyd"", ""Ian McDiarmid"", ""Pernilla August"", ""Samuel L. Jackson"", ""Oliver Ford Davies"", ""Hugh Quarshie"", ""Ahmed Best"", ""Anthony Daniels"", ""Kenny Baker"", """", """", """", """", """", """", """", """", """", """", """", """"]","[""Rick McCallum""]","[""George Lucas""]"
Star Wars: Revenge of the Sith,Average Rating: 7.3/10,2005,"{""itunes""=>[""975521762""]}",Action & Adventure,"[""Ewan McGregor"", ""Natalie Portman"", ""Hayden Christensen"", ""Ian McDiarmid"", ""Samuel L. Jackson"", ""Jimmy Smits"", ""Frank Oz"", ""Anthony Daniels"", ""Christopher Lee"", ""Silas Carson"", ""Jay Laga'aia"", """", """", """", """", """", """", """", """"]","[""Rick McCallum""]","[""George Lucas""]"
Star Wars: Attack of the Clones,Average Rating: 6.7/10,2002,"{""itunes""=>[""975101586""]}",Action & Adventure,"[""Ewan McGregor"", ""Natalie Portman"", ""Hayden Christensen"", ""Christopher Lee"", ""Samuel L. Jackson"", ""Frank Oz"", ""Ian McDiarmid"", ""Pernilla August"", ""Temuera Morrison"", ""Jimmy Smits"", ""Jack Thompson"", """", """", """", """", """", """", """", """", """", """", """"]","[""Rick McCallum""]","[""George Lucas""]"
American Made,Average Rating: 6.9/10,2017,"{""itunes""=>[""1282787960""]}",Drama,"[""Tom Cruise"", ""Domhnall Gleeson"", ""Sarah Wright"", ""Jesse Plemons"", ""Caleb Landry Jones"", ""Jayma Mays"", ""Lola Kirke"", ""Alejandro Edda"", ""Benito Martinez"", ""E. Roger Mitchell"", ""Jed Rees""]","[""Brian Grazer"", ""Brian Oliver"", ""Doug Davison"", ""Kim Roth"", ""Ray Angelic"", ""Tyler Thompson""]","[""Doug Liman""]"
Guardians of the Galaxy,Average Rating: 7.7/10,2014,"{""itunes""=>[""899347364""]}",Action & Adventure,"[""Chris Pratt"", ""Zoe Saldana"", ""Dave Bautista"", ""Vin Diesel"", ""Bradley Cooper"", ""Lee Pace"", ""Michael Rooker"", ""Karen Gillan"", ""Djimon Hounsou"", ""John C. Reilly"", ""Glenn Close"", ""Benicio Del Toro"", """", """", """", """"]","[""Kevin Feige""]","[""James Gunn""]"
The Martian,Average Rating: 7.8/10,2015,"{""itunes""=>[""1039586890""]}",Sci-Fi & Fantasy,"[""Matt Damon"", ""Jessica Chastain"", ""Kristen Wiig"", ""Jeff Daniels"", ""Michael Peña"", ""Kate Mara"", ""Sean Bean"", ""Sebastian Stan"", ""Aksel Hennie"", ""Chiwetel Ejiofor""]",[],"[""Ridley Scott""]"
Dunkirk,Average Rating: 8.6/10,2017,"{""itunes""=>[""1300354540""]}",Action & Adventure,"[""Fionn Whitehead"", ""Tom Glynn-Carney"", ""Jack Lowden"", ""Harry Styles"", ""Aneurin Barnard"", ""James D'Arcy"", ""Barry Keoghan"", ""Kenneth Branagh"", ""Cillian Murphy"", ""Mark Rylance"", ""Tom Hardy""]","[""Christopher Nolan"", ""Emma Thomas""]","[""Christopher Nolan""]"
Deadpool,Average Rating: 6.9/10,2016,"{""itunes""=>[""1078111961""]}",Action & Adventure,"[""Ryan Reynolds"", ""Morena Baccarin"", ""Ed Skrein"", ""T.J. Miller"", ""Gina Carano"", ""Brianna Hildebrand""]",[],"[""Tim Miller""]"
Star Wars: The Force Awakens,Average Rating: 8.2/10,2015,"{""itunes""=>[""1063466898""]}",Action & Adventure,"[""Harrison Ford"", ""Mark Hamill"", ""Carrie Fisher"", ""Adam Driver"", ""Daisy Ridley"", ""John Boyega"", ""Oscar Isaac"", ""Lupita Nyong'o"", ""Andy Serkis"", ""Domhnall Gleeson"", ""Anthony Daniels"", ""Max von Sydow"", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """"]","[""J.J. Abrams"", ""Kathleen Kennedy"", ""Bryan Burk""]","[""J.J. Abrams""]"
Despicable Me,Average Rating: 6.8/10,2010,"{""itunes""=>[""387548805""]}",Kids & Family,"[""Steve Carell"", ""Jason Segel"", ""Russell Brand"", ""Kristen Wiig"", ""Miranda Cosgrove"", ""Will Arnett"", ""Danny McBride"", ""Jack McBrayer"", ""Julie Andrews""]","[""Chris Meledandri"", ""Janet Healy"", ""John Cohen""]","[""Chris Renaud"", ""Pierre Coffin""]"
Kingsman: The Golden Circle,Average Rating: 5.3/10,2017,"{""itunes""=>[""1281206636""]}",Action & Adventure,"[""Colin Firth"", ""Julianne Moore"", ""Taron Egerton"", ""Mark Strong"", ""Halle Berry"", ""Sir Elton John"", ""Channing Tatum"", ""Jeff Bridges""]","[""Matthew Vaughn"", ""David Reid"", ""Adam Bohling""]","[""Matthew Vaughn""]"
