Movie Title,Release Year,Genre,Actors,Producers,Directors
Harry Potter and the Chamber of Secrets (Extended Version),2001,Kids & Family,"[""Daniel Radcliffe"", ""Rupert Grint"", ""Emma Watson"", ""John Cleese"", ""Robbie Coltrane"", ""Warwick Davis"", ""Richard Griffiths"", ""Richard Harris"", ""Ian Hart"", ""John Hurt"", ""Alan Rickman"", ""Fiona Shaw"", """", """"]","[""David Heyman""]","[""Chris Columbus""]"
Wonder Woman (2017),2002,Kids & Family,"[""Daniel Radcliffe"", ""Rupert Grint"", ""Emma Watson"", ""Kenneth Branagh"", ""John Cleese"", ""Robbie Coltrane"", ""Warwick Davis"", ""Richard Griffiths"", ""Richard Harris"", ""Jason Isaacs"", ""Alan Rickman"", ""Fiona Shaw"", """", """"]","[""David Heyman""]","[""Chris Columbus""]"
Guardians of the Galaxy Vol. 2,2017,Action & Adventure,"[""Gal Gadot"", ""Chris Pine"", ""Robin Wright"", ""Connie Nielsen"", ""Lucy Davis"", ""David Thewlis""]","[""Charles Roven"", ""Zack Snyder"", ""Deborah Snyder"", ""Richard Suckle""]","[""Patty Jenkins""]"
Baby Driver,2017,Action & Adventure,"[""Chris Pratt"", ""Zoe Saldana"", ""Dave Bautista"", ""Vin Diesel"", ""Bradley Cooper"", ""Michael Rooker"", ""Karen Gillan"", ""Pom Klementieff"", ""Sylvester Stallone"", ""Kurt Russell"", ""Elizabeth Debicki"", ""Chris Sullivan"", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """"]","[""Kevin Feige""]","[""James Gunn""]"
Baywatch,2017,Action & Adventure,"[""Ansel Elgort"", ""Kevin Spacey"", ""Lily James"", ""Jon Bernthal"", ""Jon Hamm"", ""Jamie Foxx"", ""Eiza González"", ""Flea"", ""Sky Ferreira"", ""Lanny Joon""]","[""Nira Park"", ""Tim Bevan"", ""Eric Fellner""]","[""Edgar Wright""]"
The Hunger Games,2017,Comedy,"[""Dwayne Johnson"", ""Zac Efron"", ""Alexandra Daddario"", ""David Hasselhoff""]","[""Michael Berk"", ""Douglas Schwartz"", ""Gregory J. Bonann"", ""Beau Flynn"", ""Ivan Reitman"", ""Michele Berk"", ""Louise Rosner-Meyer"", ""Tom Pollock"", ""Ali Bell"", ""Dwayne Johnson"", ""Dany Garcia"", """", """", """"]","[""Seth Gordon""]"
Deadpool,2012,Action & Adventure,"[""Jennifer Lawrence"", ""Josh Hutcherson"", ""Liam Hemsworth"", ""Woody Harrelson"", ""Elizabeth Banks"", ""Lenny Kravitz"", ""Stanley Tucci"", ""Donald Sutherland""]","[""Nina Jacobson"", ""Jon Kilik""]","[""Gary Ross""]"
Transformers: The Last Knight (Digital),2016,Action & Adventure,"[""Ryan Reynolds"", ""Morena Baccarin"", ""Ed Skrein"", ""T.J. Miller"", ""Gina Carano"", ""Brianna Hildebrand""]",[],"[""Tim Miller""]"
Guardians of the Galaxy,2017,Action & Adventure,"[""Mark Wahlberg"", ""Josh Duhamel"", ""Stanley Tucci"", ""Anthony Hopkins"", ""Laura Haddock"", ""Jerrod Carmichael"", ""Isabela Moner""]","[""Don Murphy"", ""Tom DeSanto"", ""Lorenzo di Bonaventura"", ""Ian Bryce""]","[""Michael Bay""]"
Skyfall,2014,Action & Adventure,"[""Chris Pratt"", ""Zoe Saldana"", ""Dave Bautista"", ""Vin Diesel"", ""Bradley Cooper"", ""Lee Pace"", ""Michael Rooker"", ""Karen Gillan"", ""Djimon Hounsou"", ""John C. Reilly"", ""Glenn Close"", ""Benicio Del Toro"", """", """", """", """"]","[""Kevin Feige""]","[""James Gunn""]"
