Deadpool,Average Rating: 7.2/10,2012,Action & Adventure,"[""Jennifer Lawrence"", ""Josh Hutcherson"", ""Liam Hemsworth"", ""Woody Harrelson"", ""Elizabeth Banks"", ""Lenny Kravitz"", ""Stanley Tucci"", ""Donald Sutherland""]","[""Nina Jacobson"", ""Jon Kilik""]","[""Gary Ross""]"
Skyfall,Average Rating: 6.9/10,2016,Action & Adventure,"[""Ryan Reynolds"", ""Morena Baccarin"", ""Ed Skrein"", ""T.J. Miller"", ""Gina Carano"", ""Brianna Hildebrand""]",[],"[""Tim Miller""]"
Guardians of the Galaxy,Average Rating: 8.2/10,2012,Action & Adventure,"[""Daniel Craig"", ""Judi Dench"", ""Javier Bardem"", ""Ralph Fiennes"", ""Naomie Harris"", ""Bérénice Lim Marlohe""]",[],"[""Sam Mendes""]"
The Martian,Average Rating: 7.7/10,2014,Action & Adventure,"[""Chris Pratt"", ""Zoe Saldana"", ""Dave Bautista"", ""Vin Diesel"", ""Bradley Cooper"", ""Lee Pace"", ""Michael Rooker"", ""Karen Gillan"", ""Djimon Hounsou"", ""John C. Reilly"", ""Glenn Close"", ""Benicio Del Toro"", """", """", """", """"]","[""Kevin Feige""]","[""James Gunn""]"
The Lord of the Rings: The Return of the King,Average Rating: 7.8/10,2015,Sci-Fi & Fantasy,"[""Matt Damon"", ""Jessica Chastain"", ""Kristen Wiig"", ""Jeff Daniels"", ""Michael Peña"", ""Kate Mara"", ""Sean Bean"", ""Sebastian Stan"", ""Aksel Hennie"", ""Chiwetel Ejiofor""]",[],"[""Ridley Scott""]"
The Hunger Games: Catching Fire,Average Rating: 8.7/10,2003,Action & Adventure,"[""Orlando Bloom"", ""Cate Blanchett"", ""Sean Astin"", ""Elijah Wood"", ""Ian McKellen"", ""Liv Tyler"", ""Viggo Mortensen"", ""John Rhys-Davies"", ""Bernard Hill"", ""Billy Boyd"", ""Dominic Monaghan"", ""Brad Dourif"", """", """", """", """", """", """", """", """", """", """"]",[],"[""Peter Jackson""]"
John Wick,Average Rating: 7.5/10,2013,Action & Adventure,"[""Jennifer Lawrence"", ""Josh Hutcherson"", ""Liam Hemsworth"", ""Woody Harrelson"", ""Elizabeth Banks"", ""Lenny Kravitz"", ""Philip Seymour Hoffman"", ""Jeffrey Wright"", ""Stanley Tucci"", ""Donald Sutherland"", ""Jena Malone"", """", """", """"]","[""Nina Jacobson"", ""Jon Kilik""]","[""Francis Lawrence""]"
Despicable Me,Average Rating: 6.9/10,2014,Action & Adventure,"[""Keanu Reeves"", ""Willem Dafoe"", ""Adrianne Palicki"", ""Michael Nyqvist"", ""Bridget Moynahan"", ""Alfie Allen"", ""Lance Reddick"", ""Dean Winters"", ""John Leguizamo""]","[""David Leitch"", ""Basil Iwanyk""]","[""Chad Stahelski""]"
Spectre,Average Rating: 6.8/10,2010,Kids & Family,"[""Steve Carell"", ""Jason Segel"", ""Russell Brand"", ""Kristen Wiig"", ""Miranda Cosgrove"", ""Will Arnett"", ""Danny McBride"", ""Jack McBrayer"", ""Julie Andrews""]","[""Chris Meledandri"", ""Janet Healy"", ""John Cohen""]","[""Chris Renaud"", ""Pierre Coffin""]"
Star Wars: The Force Awakens,Average Rating: 6.4/10,2015,Action & Adventure,"[""Dave Bautista"", ""Monica Bellucci"", ""Daniel Craig"", ""Ralph Fiennes"", ""Naomie Harris"", ""Rory Kinnear"", ""Andrew Scott"", ""Léa Seydoux"", ""Christoph Waltz"", ""Ben Whishaw""]","[""Barbara Broccoli"", ""Michael G. Wilson""]","[""Sam Mendes""]"
We're the Millers (2013),Average Rating: 8.2/10,2015,Action & Adventure,"[""Harrison Ford"", ""Mark Hamill"", ""Carrie Fisher"", ""Adam Driver"", ""Daisy Ridley"", ""John Boyega"", ""Oscar Isaac"", ""Lupita Nyong'o"", ""Andy Serkis"", ""Domhnall Gleeson"", ""Anthony Daniels"", ""Max von Sydow"", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """"]","[""J.J. Abrams"", ""Kathleen Kennedy"", ""Bryan Burk""]","[""J.J. Abrams""]"
Spider-Man: Homecoming,Average Rating: 5.4/10,2013,Comedy,"[""Jennifer Aniston"", ""Jason Sudeikis"", ""Emma Roberts"", ""Nick Offerman"", ""Kathryn Hahn"", ""Ed Helms"", ""Will Poulter"", ""Molly Quinn""]","[""Vincent Newman"", ""Tucker Tooley"", ""Happy Walters"", ""Chris Bender""]","[""Rawson Marshall Thurber""]"
Despicable Me 2,Average Rating: 7.6/10,2017,Action & Adventure,"[""Tom Holland"", ""Michael Keaton"", ""Zendaya"", ""Donald Glover"", ""Jon Favreau"", ""Tony Revolori"", ""Jacob Batalon"", ""Laura Harrier"", ""Tyne Daly"", ""Bokeem Woodbine"", ""Gwyneth Paltrow"", ""Marisa Tomei"", """", """", """", """", """", """", """", """", """", """"]","[""Kevin Feige"", ""Amy Pascal""]","[""Jon Watts""]"
Kingsman: The Secret Service,Average Rating: 6.7/10,2013,Kids & Family,"[""Steve Carell"", ""Kristen Wiig"", ""Benjamin Bratt"", ""Miranda Cosgrove"", ""Russell Brand"", ""Steve Coogan"", ""Ken Jeong"", ""Elsie Fisher"", ""Dana Gaier"", ""Moisés Arias""]","[""Chris Meledandri"", ""Janet Healy""]","[""Chris Renaud"", ""Pierre Coffin""]"
Captain Phillips,Average Rating: 6.8/10,2015,Action & Adventure,"[""Colin Firth"", ""Samuel L. Jackson"", ""Mark Strong"", ""Taron Egerton"", ""Michael Caine""]",[],"[""Matthew Vaughn""]"
The Avengers,Average Rating: 8.3/10,2013,Action & Adventure,"[""Tom Hanks"", ""Barkhad Abdi"", ""Barkhad Abdirahman"", ""Faysal Ahmed"", ""Mahat M. Ali"", ""Michael Chernus"", ""Corey Johnson"", ""Max Martini"", ""Chris Mulkey"", ""Yul Vazquez"", ""David Warshofsky"", """", """", """", """"]","[""Scott Rudin"", ""Dana Brunetti"", ""Michael De Luca""]","[""Paul Greengrass""]"
Jurassic World,Average Rating: 8.0/10,2012,Action & Adventure,"[""Robert Downey Jr."", ""Chris Evans"", ""Mark Ruffalo"", ""Chris Hemsworth"", ""Scarlett Johansson"", ""Jeremy Renner"", ""Tom Hiddleston"", ""Clark Gregg"", ""Cobie Smulders"", ""Stellan Skarsgård"", ""Samuel L. Jackson""]","[""Kevin Feige""]","[""Joss Whedon""]"
"Harry Potter and the Deathly Hallows, Part 1",Average Rating: 6.7/10,2015,Action & Adventure,"[""Chris Pratt"", ""Bryce Dallas Howard"", ""Vincent D'Onofrio"", ""Ty Simpkins"", ""Nick Robinson"", ""Omar Sy"", ""B.D. Wong"", ""Irrfan Khan""]","[""Frank Marshall"", ""Patrick Crowley""]","[""Colin Trevorrow""]"
Harry Potter and the Goblet of Fire,Average Rating: 7.2/10,2010,Kids & Family,"[""Daniel Radcliffe"", ""Rupert Grint"", ""Emma Watson"", ""Helena Bonham Carter"", ""Robbie Coltrane"", ""Warwick Davis"", ""Ralph Fiennes"", ""Michael Gambon"", ""Brendan Gleeson"", ""Alan Rickman""]","[""David Heyman"", ""David Barron"", ""J.K. Rowling""]","[""David Yates""]"
Rogue One: A Star Wars Story,Average Rating: 7.5/10,2005,Kids & Family,"[""Daniel Radcliffe"", ""Rupert Grint"", ""Emma Watson"", ""Robbie Coltrane"", ""Ralph Fiennes"", ""Michael Gambon"", ""Brendan Gleeson"", ""Jason Isaacs"", ""Gary Oldman"", ""Alan Rickman"", ""Maggie Smith"", ""Timothy Spall"", """"]","[""David Heyman""]","[""Mike Newell""]"
Zootopia,Average Rating: 7.5/10,2016,Action & Adventure,"[""Felicity Jones"", ""Diego Luna"", ""Ben Mendelsohn"", ""甄子丹"", ""Mads Mikkelsen"", ""Alan Tudyk"", ""Riz Ahmed"", ""Jimmy Smits"", ""James Earl Jones"", ""Jiang Wen"", ""Forest Whitaker""]","[""Kathleen Kennedy"", ""Allison Shearmur"", ""Simon Emanuel""]","[""Gareth Edwards""]"
Interstellar,Average Rating: 8.0/10,2016,Kids & Family,"[""Ginnifer Goodwin"", ""Jason Bateman"", ""Idris Elba"", ""Jenny Slate"", ""Nate Torrence"", ""Bonnie Hunt"", ""Don Lake"", ""Tommy Chong"", ""J.K. Simmons"", ""Octavia Spencer"", ""Alan Tudyk"", ""Shakira"", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """"]","[""Clark Spencer""]","[""Rich Moore"", ""Byron Howard""]"
The Lord of the Rings: The Fellowship of the Ring (Special Extended Edition),Average Rating: 7.0/10,2014,Sci-Fi & Fantasy,"[""Matthew McConaughey"", ""Anne Hathaway"", ""Jessica Chastain"", ""Bill Irwin"", ""Ellen Burstyn"", ""Michael Caine""]","[""Christopher Nolan"", ""Emma Thomas"", ""Lynda Obst"", ""Jordan Goldberg"", ""Jake Myers"", ""Kip Thorne"", ""Thomas Tull""]","[""Christopher Nolan""]"
