Star Wars: A New Hope,Average Rating: 8.6/10,1977,"{""itunes""=>[""978943481""]}",Action & Adventure,"[""Mark Hamill"", ""Harrison Ford"", ""Carrie Fisher"", ""Peter Cushing"", ""Alec Guinness"", ""Anthony Daniels"", ""Kenny Baker"", ""Peter Mayhew"", ""David Prowse"", ""James Earl Jones"", ""Jack Purvis"", ""Eddie Byrne""]","[""Gary Kurtz""]","[""George Lucas""]"
Star Wars: The Empire Strikes Back,Average Rating: 8.9/10,1980,"{""itunes""=>[""975793398""]}",Action & Adventure,"[""Mark Hamill"", ""Harrison Ford"", ""Carrie Fisher"", ""Billy Dee Williams"", ""Anthony Daniels"", ""David Prowse"", ""Peter Mayhew"", ""Kenny Baker"", ""Frank Oz"", ""Alec Guinness"", ""Jeremy Bulloch"", ""Kenneth Colley"", """"]","[""Gary Kurtz""]","[""Irvin Kershner""]"
Star Wars: Return of the Jedi,Average Rating: 7.2/10,1983,"{""itunes""=>[""976965981""]}",Action & Adventure,"[""Mark Hamill"", ""Harrison Ford"", ""Carrie Fisher"", ""Billy Dee Williams"", ""Anthony Daniels"", ""Peter Mayhew"", ""Sebastian Shaw"", ""Ian McDiarmid"", ""Frank Oz"", ""James Earl Jones"", ""David Prowse"", ""Alec Guinness"", """", """", """", """", """"]","[""Howard Kazanjian""]","[""Richard Marquand""]"
Star Wars: The Phantom Menace,Average Rating: 6.0/10,1999,"{""itunes""=>[""975080816""]}",Action & Adventure,"[""Liam Neeson"", ""Ewan McGregor"", ""Natalie Portman"", ""Jake Lloyd"", ""Ian McDiarmid"", ""Pernilla August"", ""Samuel L. Jackson"", ""Oliver Ford Davies"", ""Hugh Quarshie"", ""Ahmed Best"", ""Anthony Daniels"", ""Kenny Baker"", """", """", """", """", """", """", """", """", """", """", """", """"]","[""Rick McCallum""]","[""George Lucas""]"
Star Wars: Revenge of the Sith,Average Rating: 7.3/10,2005,"{""itunes""=>[""975521762""]}",Action & Adventure,"[""Ewan McGregor"", ""Natalie Portman"", ""Hayden Christensen"", ""Ian McDiarmid"", ""Samuel L. Jackson"", ""Jimmy Smits"", ""Frank Oz"", ""Anthony Daniels"", ""Christopher Lee"", ""Silas Carson"", ""Jay Laga'aia"", """", """", """", """", """", """", """", """"]","[""Rick McCallum""]","[""George Lucas""]"
Star Wars: Attack of the Clones,Average Rating: 6.7/10,2002,"{""itunes""=>[""975101586""]}",Action & Adventure,"[""Ewan McGregor"", ""Natalie Portman"", ""Hayden Christensen"", ""Christopher Lee"", ""Samuel L. Jackson"", ""Frank Oz"", ""Ian McDiarmid"", ""Pernilla August"", ""Temuera Morrison"", ""Jimmy Smits"", ""Jack Thompson"", """", """", """", """", """", """", """", """", """", """", """"]","[""Rick McCallum""]","[""George Lucas""]"
Atomic Blonde,Average Rating: 6.5/10,2017,"{""itunes""=>[""1257764675""]}",Action & Adventure,"[""Charlize Theron"", ""James McAvoy"", ""John Goodman"", ""Til Schweiger"", ""Eddie Marsan"", ""Sofia Boutella"", ""Toby Jones""]","[""Charlize Theron"", ""Eric Gitter"", ""Peter Schwerin"", ""Kelly McCormick"", ""A.J. Dix"", ""Beth Kono""]","[""David Leitch""]"
The Martian,Average Rating: 7.8/10,2015,"{""itunes""=>[""1039586890""]}",Sci-Fi & Fantasy,"[""Matt Damon"", ""Jessica Chastain"", ""Kristen Wiig"", ""Jeff Daniels"", ""Michael Peña"", ""Kate Mara"", ""Sean Bean"", ""Sebastian Stan"", ""Aksel Hennie"", ""Chiwetel Ejiofor""]",[],"[""Ridley Scott""]"
Deadpool,Average Rating: 6.9/10,2016,"{""itunes""=>[""1078111961""]}",Action & Adventure,"[""Ryan Reynolds"", ""Morena Baccarin"", ""Ed Skrein"", ""T.J. Miller"", ""Gina Carano"", ""Brianna Hildebrand""]",[],"[""Tim Miller""]"
Wind River,Average Rating: 7.6/10,2017,"{""itunes""=>[""1262612981""]}",Action & Adventure,"[""Jeremy Renner"", ""Elizabeth Olsen"", ""Jon Bernthal"", ""Martin Sensmeier"", ""Gil Birmingham"", ""Kelsey Asbille""]","[""Basil Iwanyk"", ""Peter Berg"", ""Matthew George"", ""Wayne L. Rogers"", ""Elizabeth A. Bell""]","[""Taylor Sheridan""]"
The Dark Knight Rises,Average Rating: 8.0/10,2012,"{""itunes""=>[""567661493""]}",Action & Adventure,"[""Christian Bale"", ""Anne Hathaway"", ""Tom Hardy"", ""Marion Cotillard"", ""Joseph Gordon-Levitt"", ""Michael Caine"", ""Gary Oldman"", ""Morgan Freeman""]","[""Emma Thomas"", ""Christopher Nolan"", ""Charles Roven""]","[""Christopher Nolan""]"
Spider-Man: Homecoming,Average Rating: 7.6/10,2017,"{""itunes""=>[""1243195844""]}",Action & Adventure,"[""Tom Holland"", ""Michael Keaton"", ""Zendaya"", ""Donald Glover"", ""Jon Favreau"", ""Tony Revolori"", ""Jacob Batalon"", ""Laura Harrier"", ""Tyne Daly"", ""Bokeem Woodbine"", ""Gwyneth Paltrow"", ""Marisa Tomei"", """", """", """", """", """", """", """", """", """", """"]","[""Kevin Feige"", ""Amy Pascal""]","[""Jon Watts""]"
The Hunger Games,Average Rating: 7.2/10,2012,"{""itunes""=>[""521035514""]}",Action & Adventure,"[""Jennifer Lawrence"", ""Josh Hutcherson"", ""Liam Hemsworth"", ""Woody Harrelson"", ""Elizabeth Banks"", ""Lenny Kravitz"", ""Stanley Tucci"", ""Donald Sutherland""]","[""Nina Jacobson"", ""Jon Kilik""]","[""Gary Ross""]"
Despicable Me,Average Rating: 6.8/10,2010,"{""itunes""=>[""387548805""]}",Kids & Family,"[""Steve Carell"", ""Jason Segel"", ""Russell Brand"", ""Kristen Wiig"", ""Miranda Cosgrove"", ""Will Arnett"", ""Danny McBride"", ""Jack McBrayer"", ""Julie Andrews""]","[""Chris Meledandri"", ""Janet Healy"", ""John Cohen""]","[""Chris Renaud"", ""Pierre Coffin""]"
The Lord of the Rings: The Return of the King,Average Rating: 8.7/10,2003,"{""itunes""=>[""297709333""]}",Action & Adventure,"[""Orlando Bloom"", ""Cate Blanchett"", ""Sean Astin"", ""Elijah Wood"", ""Ian McKellen"", ""Liv Tyler"", ""Viggo Mortensen"", ""John Rhys-Davies"", ""Bernard Hill"", ""Billy Boyd"", ""Dominic Monaghan"", ""Brad Dourif"", """", """", """", """", """", """", """", """", """", """"]",[],"[""Peter Jackson""]"
