Scraped Date,Category,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Hash
"February 1, 2018",Recently Added,Death in Paradise,2011,7,5,Episode 5,{}
"February 1, 2018",Recently Added,Beyond,2017,2,4,"Knock, Knock",{}
"February 1, 2018",Recently Added,The Big Bang Theory,2007,11,15,The Novelization Correlation,{}
"February 1, 2018",Recently Added,The Four: Battle for Stardom,2018,1,5,Week Five,{}
"February 1, 2018",Recently Added,Grey's Anatomy,2005,14,11,(Don't Fear) the Reaper,{}
"February 1, 2018",Recently Added,RuPaul's Drag Race All Stars,2012,3,2,Episode 2,{}
"February 1, 2018",Recently Added,Supernatural,2005,13,12,Various & Sundry Villains,{}
"February 1, 2018",Recently Added,Superstore,2015,3,12,Groundhog Day,{}
"February 1, 2018",Recently Added,The Good Place,2016,2,12,Somewhere Else,{}
"February 1, 2018",Recently Added,Young Sheldon,2017,1,13,"A Sneeze, Detention, and Sissy Spacek",{}
"February 1, 2018",Recently Added,Arrow,2012,6,12,All for Nothing,{}
"February 1, 2018",Recently Added,Mom,2013,5,12,Push-Down Coffee and a Working Turn Signal,{}
"February 1, 2018",Recently Added,Nashville,2012,6,5,Where the Night Goes,{}
"February 1, 2018",Recently Added,Project Runway All Stars,2012,6,5,Fashion's New Superheroes,{}
"February 1, 2018",Recently Added,Scandal,2012,7,10,The People v. Olivia Pope,{}
"February 1, 2018",Recently Added,Swamp People,2010,9,2,Cajun Cartel,{}
"February 1, 2018",Recently Added,Top Chef,2006,15,9,Bronco Brouhaha,{}
"February 1, 2018",Recently Added,Will & Grace,1998,9,11,Staten Island Fairy,{}
"February 1, 2018",Recently Added,Life in Pieces,2015,3,12,Toilet Shaving Stuck Fertility,{}
"February 1, 2018",Recently Added,Chicago Fire,2012,6,11,Law of the Jungle,{}
"February 1, 2018",Recently Added,How To Get Away With Murder,2014,4,11,He's a Bad Father,{}
"February 1, 2018",Recently Added,Impractical Jokers,2011,7,1,The Marathon Man,{}
"February 1, 2018",Recently Added,Lip Sync Battle,2015,4,2,Fifth Harmony,{}
"February 1, 2018",Recently Added,Portlandia,2011,8,3,No Thank You,{}
"February 1, 2018",Recently Added,S.W.A.T.,2017,1,12,Contamination,{}
"February 1, 2018",Recently Added,Swamp People,2010,9,2,Cajun Cartel,{}
"February 1, 2018",Recently Added,Conan,2010,8,12,"Dr. Phil McGraw, the Soul Flyers, Albert Hammond Jr.",{}
"February 1, 2018",Recently Added,The Daily Show,1996,24,19,Rose McGowan,{}
"February 1, 2018",Recently Added,Nick Cannon Presents: Wild 'N Out,2005,10,12,Wyclef; Sara Sampaio,{}
"February 1, 2018",Recently Added,The Opposition With Jordan Klepper,2017,1,59,Talib Kweli,{}
"February 2, 2018",Recently Added,The Late Show With Stephen Colbert,2015,4,24,"Uma Thurman, Jacob Williams",{}
"February 1, 2018",Recently Added,The Tonight Show Starring Jimmy Fallon,2014,2018,19,"Sam Smith, Cecily Strong, Dan White",{}
