Scraped Date,Category,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Hash
"January 2, 2018",Recently Added,Marvel's Runaways,2017,1,9,Doomsday,{}
"January 2, 2018",Recently Added,Lethal Weapon,2016,2,11,Funny Money,{}
"January 2, 2018",Recently Added,The Middle,2009,9,11,New Year's Revelations,{}
"January 2, 2018",Recently Added,NCIS,2003,15,11,High Tide,{}
"January 2, 2018",Recently Added,Fresh Off The Boat,2015,4,11,Big Baby,{}
"January 2, 2018",Recently Added,Black-ish,2014,4,10,Working Girl,{}
"January 2, 2018",Recently Added,Bull,2016,2,11,Survival Instincts,{}
"January 2, 2018",Recently Added,The Challenge: The Miniseries,2017,2,7,Episode 7,{}
"January 2, 2018",Recently Added,Major Crimes,2012,6,12,By Any Means: Part 3,{}
"January 2, 2018",Recently Added,Married At First Sight,2014,6,1,Wedding Prep,{}
"January 2, 2018",Recently Added,The Real Housewives of Beverly Hills,2010,8,3,Episode 3,{}
"January 2, 2018",Recently Added,The Real World,1992,33,1,When Worlds Collide,{}
"January 2, 2018",Recently Added,The Mick,2017,2,10,The Climb,{}
"January 2, 2018",Recently Added,Chicago Med,2015,3,5,Mountains and Molehills,{}
"January 2, 2018",Recently Added,Kevin (Probably) Saves the World,2017,1,10,The Ugly Sleep,{}
"January 2, 2018",Recently Added,NCIS: New Orleans,2014,4,11,Monster,{}
"January 2, 2018",Recently Added,Teachers,2016,2,18,Toxic Workplace,{}
"January 3, 2018",Recently Added,The Daily Show,1996,23,179,Dan Harris,{}
"January 3, 2018",Recently Added,The Opposition With Jordan Klepper,2017,1,42,Jeff Goodell,{}
"January 3, 2018",Recently Added,The Late Show With Stephen Colbert,2015,3,198,"David Harbour, Julien Baker",{}
