Scraped Date,Category,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Hash
"November 3, 2017",Recently Added,Alias Grace,2017,1,6,Part 6,{}
"November 3, 2017",Recently Added,Alias Grace,2017,1,6,Part 6,{}
"November 3, 2017",Recently Added,Alias Grace,2017,1,6,Part 6,{}
"November 3, 2017",Recently Added,Alias Grace,2017,1,6,Part 6,{}
"November 3, 2017",Recently Added,Alias Grace,2017,1,6,Part 6,{}
"November 3, 2017",Recently Added,Alias Grace,2017,1,6,Part 6,{}
"November 3, 2017",Recently Added,Chelsea,2016,2,25,Episode 25,{}
"October 28, 2017",Recently Added,The Graham Norton Show,,22,4,"Hillary Clinton, Jeff Goldblum, Gerard Butler, Jack Whitehall.",{}
"November 3, 2017",Recently Added,Blindspot,2015,3,2,Enemy Bag of Tricks,{}
"November 3, 2017",Recently Added,Crazy Ex-Girlfriend,2015,3,4,Josh's Ex-Girlfriend Is Crazy.,{}
"November 3, 2017",Recently Added,Hell's Kitchen,2005,17,5,Josh Josh Josh,{}
"November 3, 2017",Recently Added,MacGyver,2016,2,6,Jet Engine & Pickup Truck,{}
"November 3, 2017",Recently Added,Once Upon a Time,2011,7,5,Greenbacks,{}
"November 3, 2017",Recently Added,The Exorcist,2016,2,5,"There but for the Grace of God, Go I",{}
"November 3, 2017",Recently Added,Gold Rush,2010,8,4,The Curse of the Fairplay Mountains,{}
"November 3, 2017",Recently Added,Hawaii Five-0,2010,8,5,"Kama'oma'o, Ka 'Aina Huli Hana",{}
"November 3, 2017",Recently Added,Jane the Virgin,2014,4,4,Chapter Sixty-Eight,{}
"November 3, 2017",Recently Added,Marvel's Inhumans,2017,1,7,Havoc in the Hidden Land,{}
"November 3, 2017",Recently Added,Z Nation,2014,4,6,Back From the Undead,{}
"November 3, 2017",Recently Added,Blue Bloods,2010,8,6,Brushed Off,{}
"November 3, 2017",Recently Added,Don't Be Tardy...,2012,6,7,"One Door Closes, Another One Opens",{}
"November 3, 2017",Recently Added,Real Time with Bill Maher,2003,15,33,"Col. Jack Jacobs / Graeme Wood / Christina Bellantoni, Jeffrey Lord & Rob Reiner",{}
"November 3, 2017",Recently Added,Superstition,2017,1,3,Half Truths & Half Breeds,{}
"November 3, 2017",Recently Added,The Late Show With Stephen Colbert,2015,3,170,"Ronan Farrow, Walter Isaacson, Kelsea Ballerini",{}
"November 3, 2017",Recently Added,The Tonight Show Starring Jimmy Fallon,2014,2017,170,"Saoirse Ronan, Julian Edelman, Clive Davis, Wiz Khalifa featuring Ty Dolla $ign",{}
