Scraped Date,Category,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Hash
"October 4, 2017",Recently Added,Empire,2015,4,2,Full Circle,"{""hulu""=>[""1151504""]}"
"October 4, 2017",Recently Added,Survivor,2000,35,2,I'm A Wild Banshee,{}
"October 4, 2017",Recently Added,The Blacklist,2013,5,2,Greyson Blaise,{}
"October 4, 2017",Recently Added,The Goldbergs,2013,5,2,Hogan Is My Grandfather,{}
"October 4, 2017",Recently Added,Speechless,2016,2,2,F-i-- First S-e-- Second F-- First Day,{}
"October 4, 2017",Recently Added,Law & Order: Special Victims Unit,1999,19,2,Mood,{}
"October 4, 2017",Recently Added,Modern Family,2009,9,2,The Long Goodbye,{}
"October 4, 2017",Recently Added,Seal Team,2017,1,2,Other Lives,{}
"October 4, 2017",Recently Added,Star,2016,2,2,Insecure,"{""hulu""=>[""1152159""]}"
"October 4, 2017",Recently Added,The Real Housewives of New Jersey,2009,8,1,Shaddy Beach,{}
"October 4, 2017",Recently Added,American Housewife,2016,2,2,Boar-Dain,{}
"October 4, 2017",Recently Added,Are You The One?,2014,6,3,Love in Limbo,"{""amazon""=>[""B075QFG4WR"", ""B075QDYJXF""]}"
"October 4, 2017",Recently Added,Chicago PD,2014,5,2,The Thing About Heroes,{}
"October 4, 2017",Recently Added,Criminal Minds,2005,13,2,To A Better Place,{}
"October 4, 2017",Recently Added,Designated Survivor,2016,2,2,Sting of the Tail,{}
"October 4, 2017",Recently Added,Queen Sugar,2016,2,10,Drums at Dusk,{}
"October 4, 2017",Recently Added,The Ultimate Fighter,2005,26,6,Episode 6,{}
"October 4, 2017",Recently Added,You're The Worst,2014,4,6,There's Always a Back Door,{}
"October 4, 2017",Recently Added,Full Frontal with Samantha Bee,2016,2,21,Episode 21,{}
"October 5, 2017",Recently Added,Conan,2010,7,113,"Jared Leto, Dr. Dale Stuckenbruck, Kane Brown",{}
"October 5, 2017",Recently Added,The Daily Show,1996,23,141,Kenya Barris,{}
"October 5, 2017",Recently Added,The Opposition With Jordan Klepper,2017,1,8,Jane Mayer,{}
"October 5, 2017",Recently Added,The Late Show With Stephen Colbert,2015,3,154,"Morgan Freeman, Grace Gummer, Nate McIntosh",{}
"October 5, 2017",Recently Added,The Tonight Show Starring Jimmy Fallon,2014,2017,154,"Gal Gadot, Jon Bernthal, Miley Cyrus",{}
"October 5, 2017",Recently Added,The Only Way is Essex,2010,21,8,Episode 8,{}
"October 5, 2017",Recently Added,Gotham,2014,4,3,They Who Hide Behind Masks,{}
"October 5, 2017",Recently Added,Grey's Anatomy,2005,14,3,Go Big or Go Home,{}
"October 5, 2017",Recently Added,Superstore,2015,3,2,Brett is Dead,{}
"October 5, 2017",Recently Added,The Good Place,2016,2,4,Team Cockroach,{}
"October 5, 2017",Recently Added,Flipping Out,2007,10,8,The Gema Dilemma,{}
"October 5, 2017",Recently Added,Nick Cannon Presents: Wild 'N Out,2005,9,26,Wendy Williams; Blac Youngsta,{}
"October 5, 2017",Recently Added,Project Runway,2004,16,8,Client on the Go,{}
"October 5, 2017",Recently Added,Scandal,2012,7,1,Watch Me,{}
"October 5, 2017",Recently Added,The Orville,2017,1,5,Pria,{}
"October 5, 2017",Recently Added,Van Helsing,2016,2,1,Began Again,{}
"October 5, 2017",Recently Added,WAGS,2015,3,1,Episode 1,{}
"October 5, 2017",Recently Added,Will & Grace,1998,9,2,Who's Your Daddy,{}
"October 5, 2017",Recently Added,Great News,2017,2,2,Squad Feud,{}
"October 5, 2017",Recently Added,Better Things,2016,2,4,Sick,{}
"October 5, 2017",Recently Added,Chicago Fire,2012,6,2,Ignite on Contact,{}
"October 5, 2017",Recently Added,How To Get Away With Murder,2014,4,2,I'm Not Her,{}
"October 5, 2017",Recently Added,Ice Road Truckers,2007,11,5,The Son Rises,{}
"October 5, 2017",Recently Added,Impractical Jokers,2011,6,24,The Party Crasher,{}
"October 5, 2017",Recently Added,Nathan For You,2013,4,2,Andy vs Uber,{}
"October 5, 2017",Recently Added,Conan,2010,7,113,"Jared Leto, Dr. Dale Stuckenbruck, Kane Brown",{}
"October 5, 2017",Recently Added,The Daily Show,1996,23,141,Kenya Barris,{}
"October 5, 2017",Recently Added,The Opposition With Jordan Klepper,2017,1,8,Jane Mayer,{}
"October 5, 2017",Recently Added,The Late Show With Stephen Colbert,2015,3,154,"Morgan Freeman, Grace Gummer, Nate McIntosh",{}
"October 5, 2017",Recently Added,The Tonight Show Starring Jimmy Fallon,2014,2017,154,"Gal Gadot, Jon Bernthal, Miley Cyrus",{}
