Scraped Date,Category,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Hash
"December 5, 2017",Recently Added,Marvel's Runaways,2017,1,5,Kingdom,"{""hulu""=>[""1184512""]}"
"December 5, 2017",Recently Added,The Flash,2014,4,9,Don't Run,{}
"December 5, 2017",Recently Added,Lethal Weapon,2016,2,9,Fools Rush In,"{""hulu""=>[""1186589""]}"
"December 5, 2017",Recently Added,The Middle,2009,9,9,The 200th,"{""hulu""=>[""1186377""]}"
"December 5, 2017",Recently Added,The Voice,2011,13,23,Live Top 10 Eliminations,{}
"December 5, 2017",Recently Added,WWE Smackdown,1999,2017,47,"San Diego, CA",{}
"December 5, 2017",Recently Added,Fresh Off The Boat,2015,4,9,Slide Effect,"{""hulu""=>[""1186400""]}"
"December 5, 2017",Recently Added,Below Deck,2013,5,14,The Champagne Campaign,{}
"December 5, 2017",Recently Added,Black-ish,2014,4,8,Charity Case,"{""hulu""=>[""1186352""]}"
"December 5, 2017",Recently Added,The Challenge: The Miniseries,2017,2,3,Episode 3,{}
"December 5, 2017",Recently Added,DC's Legends of Tomorrow,2016,3,9,Beebo the God of War,{}
"December 5, 2017",Recently Added,The Little Couple,2009,11,12,Where's the Flyin' Lion,{}
"December 5, 2017",Recently Added,Major Crimes,2012,6,6,Conspiracy Theory: Part 1,{}
"December 5, 2017",Recently Added,The Mick,2017,2,9,The Divorce,"{""hulu""=>[""1186399""]}"
"December 5, 2017",Recently Added,Will & Grace,1998,9,7,A Gay Olde Christmas,{}
"December 5, 2017",Recently Added,Brooklyn Nine-Nine,2013,5,9,99,"{""hulu""=>[""1186426""]}"
"December 5, 2017",Recently Added,The Mayor,2017,1,8,Monuments Man,"{""hulu""=>[""1186353""]}"
"December 5, 2017",Recently Added,Superstore,2015,3,7,Christmas Eve,"{""hulu""=>[""1186397""]}"
"December 5, 2017",Recently Added,Chicago Med,2015,3,3,Trust Your Gut,"{""hulu""=>[""1186477""]}"
"December 5, 2017",Recently Added,Chopped,2009,35,20,Chopped Grand Holiday,{}
"December 5, 2017",Recently Added,Kevin (Probably) Saves the World,2017,1,8,Chrysalis,"{""hulu""=>[""1186376""]}"
"December 5, 2017",Recently Added,Teachers,2016,2,15,Hot Date,{}
"December 6, 2017",Recently Added,Conan,2010,7,132,"Denis Leary, Frankie Shaw, Khalid Rahmaan",{}
"December 6, 2017",Recently Added,The Daily Show,1996,23,168,St. Vincent,{}
"December 6, 2017",Recently Added,The Opposition With Jordan Klepper,2017,1,35,Jennifer Egan,{}
"December 6, 2017",Recently Added,The Late Show With Stephen Colbert,2015,3,189,"Ed Helms, Christopher Jackson, Bleachers",{}
"December 6, 2017",Recently Added,The Tonight Show Starring Jimmy Fallon,2014,2017,187,"John Cena, Bridget Everett, Beck",{}
