Scraped Date,Category,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Hash
"September 6, 2017",Recently Added,America's Got Talent,2006,12,20,Live Results 4,{}
"September 6, 2017",Recently Added,Big Brother 19,2017,1,33,Episode 33,{}
"September 6, 2017",Recently Added,MasterChef,2010,8,17,Pop-Up Restaurant,{}
"September 6, 2017",Recently Added,Swedish Dicks,2017,1,7,SWD-170107,{}
"September 6, 2017",Recently Added,Marlon,2017,1,8,Coach Marlon,{}
"September 6, 2017",Recently Added,MasterChef,2010,8,17,Pop-Up Restaurant,{}
"September 6, 2017",Recently Added,Salvation,2017,1,11,All In,{}
"September 6, 2017",Recently Added,Suits,2011,7,9,Shame,{}
"September 6, 2017",Recently Added,Wahlburgers,2014,8,11,Has-Bros,"{""amazon""=>[""B0757T7VK8"", ""B0757XK43Z""]}"
"September 6, 2017",Recently Added,Marlon,2017,1,8,Coach Marlon,{}
"September 6, 2017",Recently Added,Odd Mom Out,2015,3,9,Homo Erectus,{}
"September 6, 2017",Recently Added,Wahlburgers,2014,8,11,Has-Bros,"{""amazon""=>[""B0757T7VK8"", ""B0757XK43Z""]}"
"September 6, 2017",Recently Added,Blood Drive,2017,1,13,Finish Line,{}
"September 6, 2017",Recently Added,Catfish: The TV Show,2012,6,24,What Kind of Catfish Are You?,{}
"September 6, 2017",Recently Added,Greenleaf,2016,2,13,Silence and Loneliness,{}
"September 6, 2017",Recently Added,Hollywood Game Night,2013,5,10,Keep It UnReal,{}
"September 6, 2017",Recently Added,Snowfall,2017,1,10,The Rubicon,{}
"September 6, 2017",Recently Added,The Lowe Files,2017,1,6,America's Secret Space Program,{}
"September 6, 2017",Recently Added,The Sinner,2017,1,6,Part VI,{}
"September 6, 2017",Recently Added,The Ultimate Fighter,2005,26,2,Fight!,{}
"September 6, 2017",Recently Added,Wahlburgers,2014,8,11,Has-Bros,"{""amazon""=>[""B0757T7VK8"", ""B0757XK43Z""]}"
"September 6, 2017",Recently Added,You're The Worst,2014,4,2,"It's Been, Parts 2",{}
"September 6, 2017",Recently Added,Younger,2015,4,11,"It's Love, Actually",{}
"September 6, 2017",Recently Added,You're The Worst,2014,4,2,"It's Been, Parts 2",{}
"September 6, 2017",Recently Added,The Daily Show,1996,23,124,Lake Bell,{}
"September 6, 2017",Recently Added,The Late Show With Stephen Colbert,2015,3,138,"Liev Schreiber, Joe Buck, Sonequa Martin-Green, Sheila E.",{}
"September 6, 2017",Recently Added,The Tonight Show Starring Jimmy Fallon,2014,2017,133,"Seth MacFarlane, Elisabeth Moss, Thomas Rhett",{}
