Scraped Date,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Hash
"July 31, 2017",Love & Hip Hop: Hollywood,2014,4,2,Episode 2,{}
"August 7, 2017",Shadowhunters,2016,2,19,Hail and Farewell,{}
"August 7, 2017",So You Think You Can Dance,2005,14,8,Top 10 Perform Pt. 1,{}
"August 7, 2017",The Bachelorette,2003,13,12,After the Final Rose,{}
"August 7, 2017",American Ninja Warrior,2010,9,9,Daytona Beach City Finals,{}
"August 7, 2017",Stitchers,2015,3,9,Kill It Forward,{}
"August 7, 2017",The Real Housewives of Orange County,2006,12,5,"Moving In, Moving On and Moving Fast",{}
"August 7, 2017",Will,2017,1,6,Something Wicked This Way Comes,"{""amazon""=>[""B073Z7T9F3"", ""B073Z8SRD7""]}"
"August 7, 2017",American Dad!,2005,13,17,Family Plan,{}
"August 7, 2017",Catfish: The TV Show,2012,6,21,Nicole & Nicole,{}
"August 7, 2017",Loaded,2017,1,4,Watto's Mum,{}
"August 7, 2017","Midnight, Texas",2017,1,3,"Lemuel, Unchained","{""itunes""=>[""1268437526""]}"
"August 7, 2017",Pawn Stars,2009,14,27,The Greatest Pawn on Earth!,{}
"August 7, 2017",Preacher,2016,2,8,Holes,"{""itunes""=>[""1268703258""]}"
"August 7, 2017",The Bachelorette,2003,13,12,After the Final Rose,{}
"August 7, 2017",Pawn Stars,2009,14,27,The Greatest Pawn on Earth!,{}
"August 7, 2017",People of Earth,2016,2,3,Gerry's Return,{}
"August 7, 2017",Conan,2010,7,86,"Bob Newhart, Tom Segura, Sheryl Crow",{}
"August 7, 2017",The Daily Show,1996,23,111,"""The Second 100 Days""",{}
"August 7, 2017",The Late Show With Stephen Colbert,2015,3,127,"Laura Dern, Leah Remini, Trombone Shorty",{}
"August 7, 2017",The Tonight Show Starring Jimmy Fallon,2014,2017,122,"Jeff Bridges, Aubrey Plaza, the Roots and Bilal",{}
