Scraped Date,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Hash
"July 14, 2017",Degrassi: Next Class,2017,4,10,#KThxBye,"{""netflixusa""=>[""80113752""]}"
"July 14, 2017",Degrassi: Next Class,2017,4,10,#KThxBye,"{""netflixusa""=>[""80113752""]}"
"July 14, 2017",Degrassi: Next Class,2017,4,10,#KThxBye,"{""netflixusa""=>[""80113752""]}"
"July 14, 2017",Degrassi: Next Class,2017,4,10,#KThxBye,"{""netflixusa""=>[""80113752""]}"
"July 14, 2017",Degrassi: Next Class,2017,4,10,#KThxBye,"{""netflixusa""=>[""80113752""]}"
"July 14, 2017",Degrassi: Next Class,2017,4,10,#KThxBye,"{""netflixusa""=>[""80113752""]}"
"July 14, 2017",Degrassi: Next Class,2017,4,10,#KThxBye,"{""netflixusa""=>[""80113752""]}"
"July 14, 2017",Degrassi: Next Class,2017,4,10,#KThxBye,"{""netflixusa""=>[""80113752""]}"
"July 14, 2017",Degrassi: Next Class,2017,4,10,#KThxBye,"{""netflixusa""=>[""80113752""]}"
"July 14, 2017",Degrassi: Next Class,2017,4,10,#KThxBye,"{""netflixusa""=>[""80113752""]}"
"July 7, 2017",The Ultimate Fighter,2005,25,15,Finale Prelims: Johnson vs. Gaethje: From Las Vegas,{}
"July 7, 2017",The Ultimate Fighter,2005,25,15,Finale Prelims: Johnson vs. Gaethje: From Las Vegas,{}
"June 23, 2017",The Next Step,2013,5,5,It's All Fun and Games...,{}
"June 30, 2017",Killjoys,2015,3,1,Boondoggie,"{""itunes""=>[""1254353088""], ""amazon""=>[""B073JJPXTV"", ""B073JL6JPF""]}"
"July 7, 2017",Masters of Illusion,2014,4,4,Maximum Separation and Chipper's Chipper,{}
"July 7, 2017",Masters of Illusion,2014,4,4,Maximum Separation and Chipper's Chipper,{}
"June 16, 2017",Ancient Aliens,2009,12,8,The Alien Frequency,"{""amazon""=>[""B071GWRTWC"", ""B071XFP5M9""]}"
"June 30, 2017",Dark Matter,2015,3,5,"Give It up, Princess","{""itunes""=>[""1254745491""], ""amazon""=>[""B073LZQGDV"", ""B073LXS76W""]}"
"July 14, 2017",Degrassi: Next Class,2017,4,10,#KThxBye,"{""netflixusa""=>[""80113752""]}"
"July 7, 2017",The Ultimate Fighter,2005,25,15,Finale Prelims: Johnson vs. Gaethje: From Las Vegas,{}
"June 30, 2017",Wynonna Earp,2016,2,4,She Ain't Right,"{""itunes""=>[""1254574135""], ""amazon""=>[""B073JZJS29"", ""B073JZZQQC""]}"
"June 30, 2017",Kendra on Top,2012,6,3,Unhappy Birthday,"{""amazon""=>[""B073JZCN7R"", ""B073JYL11P""]}"
"June 30, 2017",Kendra on Top,2012,6,3,Unhappy Birthday,"{""amazon""=>[""B073JZCN7R"", ""B073JYL11P""]}"
"June 30, 2017",Playing House,2014,3,4,Paging Doctor Yes Please,{}
