Scraped Date,Category,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Hash
"December 11, 2017",Recently Added,Made in Chelsea,2012,14,10,Episode 10,{}
"December 11, 2017",Recently Added,The Great Christmas Light Fight,2013,5,4,Episode 4,{}
"December 11, 2017",Recently Added,Kevin Can Wait,2016,2,11,Trainer Wreck,{}
"December 11, 2017",Recently Added,Love & Hip Hop: New York,2011,8,7,Slippin,{}
"December 11, 2017",Recently Added,Lucifer,2016,3,10,The Sin Bin,"{""hulu""=>[""1189803""]}"
"December 11, 2017",Recently Added,Murdoch Mysteries,2008,11,9,The Talking Dead,{}
"December 12, 2017",Recently Added,The Voice,2011,13,25,Live Semi-Final Results,{}
"December 11, 2017",Recently Added,Man With a Plan,2016,2,5,Battle of the Sexists,{}
"December 11, 2017",Recently Added,The Gifted,2017,1,10,eXploited,{}
"December 11, 2017",Recently Added,The Great Christmas Light Fight,2013,5,4,Episode 4,{}
"December 11, 2017",Recently Added,Street Outlaws,2013,11,3,Down is the New Up?,{}
"December 11, 2017",Recently Added,Superior Donuts,2017,2,7,Homeless for the Holidays,{}
"December 11, 2017",Recently Added,Teen Mom OG,2015,5,4,System Overload,{}
"December 11, 2017",Recently Added,Travelers,2016,2,9,Update,{}
"December 11, 2017",Recently Added,Valor,2017,1,9,Stay Frosty,{}
"December 11, 2017",Recently Added,Vanderpump Rules,2013,6,2,Unfaithful,{}
"December 11, 2017",Recently Added,9JKL,2017,1,11,Set Visit,{}
"December 11, 2017",Recently Added,Floribama Shore,2017,1,4,Home Sweet Home to Me,{}
"December 11, 2017",Recently Added,Scorpion,2014,4,11,Who Let the Dog Out ('Cause Now It's Stuck in a Cistern),{}
"December 11, 2017",Recently Added,Travelers,2016,2,10,21C,{}
"December 11, 2017",Recently Added,Ill Behaviour,2017,1,5,Episode 5,{}
"December 12, 2017",Recently Added,Conan,2010,7,135,"James Franco, Ari Graynor, Noomi Rapace, Gary Clark Jr.",{}
"December 12, 2017",Recently Added,The Daily Show,1996,23,171,Bob Odenkirk,{}
"December 12, 2017",Recently Added,The Opposition With Jordan Klepper,2017,1,38,Jessica Rosenworcel,{}
"December 12, 2017",Recently Added,The Late Show With Stephen Colbert,2015,3,193,"Tom Hanks, Katy Tur, Mac DeMarco",{}
"December 12, 2017",Recently Added,The Tonight Show Starring Jimmy Fallon,2014,2017,191,"Annette Bening, Judd Apatow, SZA",{}
