Scraped Date,Category,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Hash
"October 11, 2017",Recently Added,Chance,2016,2,3,The Flitcraft Parable,"{""hulu""=>[""1154309""]}"
"October 11, 2017",Recently Added,Chance,2016,2,3,The Flitcraft Parable,"{""hulu""=>[""1154309""]}"
"October 11, 2017",Recently Added,Chance,2016,2,3,The Flitcraft Parable,"{""hulu""=>[""1154309""]}"
"October 11, 2017",Recently Added,The Only Way is Essex,2010,21,10,Episode 10,{}
"October 11, 2017",Recently Added,The Blacklist,2013,5,3,Miss Rebecca Thrall,{}
"October 11, 2017",Recently Added,Empire,2015,4,3,Evil Manners,"{""hulu""=>[""1154334""]}"
"October 11, 2017",Recently Added,The Goldbergs,2013,5,3,Goldberg On The Goldbergs,"{""hulu""=>[""1155927""]}"
"October 11, 2017",Recently Added,Riverdale,2017,2,1,A Kiss Before Dying,{}
"October 11, 2017",Recently Added,Survivor,2000,35,3,My Kisses are Very Private,{}
"October 11, 2017",Recently Added,Speechless,2016,2,3,J-j’s D-r-- Dream,"{""hulu""=>[""1155923""]}"
"October 11, 2017",Recently Added,Law & Order: Special Victims Unit,1999,19,3,Contrapasso,"{""hulu""=>[""1155811""]}"
"October 11, 2017",Recently Added,Modern Family,2009,9,3,Catch of the Day,"{""hulu""=>[""1155904""]}"
"October 11, 2017",Recently Added,The Real Housewives of New Jersey,2009,8,2,Let Them Eat Cake,{}
"October 11, 2017",Recently Added,Seal Team,2017,1,3,Boarding Party,{}
"October 11, 2017",Recently Added,Star,2016,2,3,FUA... Good Night!,"{""hulu""=>[""1155854""]}"
"October 11, 2017",Recently Added,American Housewife,2016,2,3,The Uprising,"{""hulu""=>[""1155771""]}"
"October 11, 2017",Recently Added,Are You The One?,2014,6,4,Bae-trayl,{}
"October 11, 2017",Recently Added,Broad City,2014,4,4,Mushrooms,{}
"October 11, 2017",Recently Added,Chicago PD,2014,5,3,Promise,"{""hulu""=>[""1156024""]}"
"October 11, 2017",Recently Added,Criminal Minds,2005,13,3,Killer App,{}
"October 11, 2017",Recently Added,Designated Survivor,2016,2,3,Outbreak,"{""hulu""=>[""1155773""]}"
"October 11, 2017",Recently Added,Mr. Robot,2015,3,1,eps3.0_power-saver-mode.h,{}
"October 11, 2017",Recently Added,Queen Sugar,2016,2,11,Fruit of the Flower,{}
"October 11, 2017",Recently Added,The Shannara Chronicles,2016,2,1,Druid,"{""amazon""=>[""B075TXPK8X"", ""B0761N95ZP"", ""B075RGBLBB"", ""B075RGC2S7"", ""B075RG7LJ4"", ""B075RFWYKH"", ""B075TR38PD"", ""B0761J7PY2""]}"
"October 11, 2017",Recently Added,South Park,1997,21,4,Franchise Prequel,"{""hulu""=>[""1156167""]}"
"October 11, 2017",Recently Added,The Ultimate Fighter,2005,26,7,Episode 7,{}
"October 11, 2017",Recently Added,You're The Worst,2014,4,7,Not a Great Bet,{}
"October 12, 2017",Recently Added,The Late Show With Stephen Colbert,2015,3,159,"Bill Murray, Claire Foy, Bill Murray with Jan Vogler & Friends",{}
"October 12, 2017",Recently Added,The Tonight Show Starring Jimmy Fallon,2014,2017,159,"Miles Teller, Pink, Billy Corgan",{}
"October 12, 2017",Recently Added,Gotham,2014,4,4,The Demon's Head,{}
"October 12, 2017",Recently Added,Grey's Anatomy,2005,14,4,Ain't That a Kick in the Head,{}
"October 12, 2017",Recently Added,Supernatural,2005,13,1,Lost and Found,{}
"October 12, 2017",Recently Added,Superstore,2015,3,3,Part-Time Hires,{}
"October 12, 2017",Recently Added,The Good Place,2016,2,5,Existential Crisis,{}
"October 12, 2017",Recently Added,Arrow,2012,6,1,Fallout,{}
"October 12, 2017",Recently Added,Flipping Out,2007,10,9,"The Good, the Bad, the Goodbye",{}
"October 12, 2017",Recently Added,The Orville,2017,1,6,Krill,{}
"October 12, 2017",Recently Added,Project Runway,2004,16,9,A Little Avant Garde,{}
"October 12, 2017",Recently Added,Scandal,2012,7,2,Pressing the Flesh,{}
"October 12, 2017",Recently Added,Van Helsing,2016,2,2,In Redemption,{}
"October 12, 2017",Recently Added,Will & Grace,1998,9,3,Emergency Contact,{}
"October 12, 2017",Recently Added,Great News,2017,2,3,Honeypot!,{}
"October 12, 2017",Recently Added,Better Things,2016,2,5,Phil,{}
"October 12, 2017",Recently Added,Chicago Fire,2012,6,3,An Even Bigger Surprise,{}
"October 12, 2017",Recently Added,Ghost Wars,2017,1,2,The Ghost in the Machine,{}
"October 12, 2017",Recently Added,How To Get Away With Murder,2014,4,3,It's For the Greater Good,{}
"October 12, 2017",Recently Added,Ice Road Truckers,2007,11,6,A Bridge Too Far,{}
"October 12, 2017",Recently Added,Impractical Jokers,2011,6,25,Dover and Out,{}
"October 12, 2017",Recently Added,Nathan For You,2013,4,3,Andy vs Uber,{}
"October 12, 2017",Recently Added,The Late Show With Stephen Colbert,2015,3,159,"Bill Murray, Claire Foy, Bill Murray with Jan Vogler & Friends",{}
"October 12, 2017",Recently Added,The Tonight Show Starring Jimmy Fallon,2014,2017,159,"Miles Teller, Pink, Billy Corgan",{}
