Scraped Date,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Hash
"July 18, 2017",Casual,2015,3,11,Firesale,"{""hulu""=>[""1113272""]}"
"July 18, 2017",Ex On The Beach,2014,7,5,Episode 5,{}
"July 18, 2017",Adventure Time with Finn & Jake,2010,8,25,Ketchup,{}
"July 18, 2017",America's Got Talent,2006,12,8,Judge Cuts 1,{}
"July 11, 2017",The Fosters,2013,5,1,Resist,"{""amazon""=>[""B073VY6FRW"", ""B073VYWMWB""]}"
"July 11, 2017",Animal Kingdom,2016,2,6,Cry Havoc,"{""itunes""=>[""1258192612""], ""amazon""=>[""B073VRHGCG"", ""B073VR6MC9""]}"
"July 11, 2017",Below Deck Mediterranean,2016,2,10,Kissing up,"{""itunes""=>[""1257907150""], ""amazon""=>[""B073VQMGQG"", ""B073VS9VRN""]}"
"July 11, 2017",Deadliest Catch,2005,13,15,Dead-Stick,"{""itunes""=>[""1258238695""], ""amazon""=>[""B073W5W6DS"", ""B073W57MGW""]}"
"July 11, 2017",Face Off,2011,12,4,Dante's Demons,"{""itunes""=>[""1257921945""], ""amazon""=>[""B073VRNPXZ"", ""B073VRQRQ9""]}"
"July 11, 2017",The Bold Type,2017,1,2,Oh Hell No,"{""hulu""=>[""1111025""], ""amazon""=>[""B073VS5KLY"", ""B073VQY8DB""]}"
"July 11, 2017",The Haves and the Have Nots,2013,5,14,Mad Day,{}
"July 11, 2017",Adam Ruins Everything,2015,2,1,Adam Ruins Having a Baby,"{""itunes""=>[""1256842208""], ""amazon""=>[""B073V63GFB"", ""B073V6PC5Q""]}"
"March 21, 2017",Being Mary Jane,2013,4,10,Getting It,{}
"July 11, 2017",Chopped,2009,34,8,Flour Power,"{""amazon""=>[""B073V67NGQ"", ""B073V4PNLD""]}"
"July 11, 2017",Ink Master,2012,9,6,War and Ink,"{""itunes""=>[""1257997233""], ""amazon""=>[""B073VQPF1N"", ""B073VR2WJS""]}"
"January 17, 2017",Shooter,2016,1,10,Primer Contact,"{""amazon""=>[""B01NBVTG1Z"", ""B01NBVTCUD""]}"
"July 11, 2017",Tosh.0,2009,9,15,Episode 15,"{""itunes""=>[""1258488466""]}"
"July 11, 2017",World of Dance,2017,1,6,The Duels 3,{}
"July 11, 2017",Wrecked,2016,2,4,Tony Pepperoni,"{""itunes""=>[""1256929659""], ""amazon""=>[""B073V5VXFV""]}"
"July 17, 2017",The Daily Show,1996,23,99,Regina Hall,"{""itunes""=>[""1260872881""]}"
"July 17, 2017",The Late Show With Stephen Colbert,2015,3,113,"Al Gore, Issa Rae, Sufjan Stevens, Nico Muhly, Bryce Dessner & James McAlister",{}
"July 17, 2017",The Tonight Show Starring Jimmy Fallon,2014,2017,107,"Queen Latifah, Kyle Mooney, Portugal. The Man",{}
