Scraped Date,Category,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Hash
"August 22, 2017",Recently Added,Difficult People,2017,3,5,Cindarestylox,"{""hulu""=>[""1127995""]}"
"August 22, 2017",Recently Added,Ex On The Beach,2017,7,10,Episode 10,{}
"August 22, 2017",Recently Added,America's Got Talent,2017,12,15,Live Show 2,{}
"August 22, 2017",Recently Added,Bachelor in Paradise,2017,4,4,402B,"{""amazon""=>[""B01K2WNVS8"", ""B01K2WOHVS""]}"
"August 22, 2017",Recently Added,The Fosters,2017,5,7,Chasing Waterfalls,{}
"August 22, 2017",Recently Added,Animal Kingdom,2017,2,12,You Will Be Gutted,"{""itunes""=>[""1274127414""]}"
"August 22, 2017",Recently Added,Dance Moms,2017,9,4,"Out With Abby, In With Chloe - Part 2","{""itunes""=>[""1274013438""]}"
"August 22, 2017",Recently Added,The Bold Type,2017,1,8,The End of the Beginning,{}
"August 22, 2017",Recently Added,The Challenge XXX: Dirty 30,2017,30,6,"Yaaaass, booty!",{}
"August 22, 2017",Recently Added,The Haves and the Have Nots,2017,5,20,The Enemy Called Trust,{}
"August 22, 2017",Recently Added,Adam Ruins Everything,2017,2,7,Adam Ruins College,"{""itunes""=>[""1272782409""]}"
"August 22, 2017",Recently Added,Being Mary Jane,2017,4,16,Feeling Ambushed,{}
"August 22, 2017",Recently Added,Hollywood Game Night,2017,5,7,HGN's Got Talent,{}
"August 22, 2017",Recently Added,Ink Master,2017,9,12,Grim Inker,"{""itunes""=>[""1273847940""]}"
"August 22, 2017",Recently Added,Leah Remini: Scientology and the Aftermath,2017,2,2,The Ultimate Failure of Scientology,{}
"August 22, 2017",Recently Added,Shooter,2017,2,6,Across the Rio Grande,{}
"August 22, 2017",Recently Added,Somewhere Between,2017,1,6,Madness,"{""itunes""=>[""1273762381""]}"
"August 22, 2017",Recently Added,Wrecked,2017,2,10,Nerd Speak,{}
"August 22, 2017",Recently Added,Conan,2017,7,95,"Ice Cube, Lea DeLaria, Jim Lauderdale",{}
"August 22, 2017",Recently Added,The Daily Show,2017,23,116,Sen. Amy Klobuchar,{}
