Scraped Date,Category,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Hash
"January 22, 2018",Recently Added,The Bachelor,2002,22,4,Episode 4,{}
"January 22, 2018",Recently Added,Cops,1989,30,24,Just Desserts,{}
"January 22, 2018",Recently Added,Kevin Can Wait,2016,2,14,Kevin Can Date,{}
"January 22, 2018",Recently Added,Love & Hip Hop: New York,2011,8,12,Peace Talk,{}
"January 22, 2018",Recently Added,Lucifer,2016,3,12,High School Poppycock,{}
"January 23, 2018",Recently Added,Mosaic,2018,1,2,Episode 2,{}
"January 22, 2018",Recently Added,Murdoch Mysteries,2008,11,12,Mary Wept,{}
"January 22, 2018",Recently Added,Supergirl,2015,3,11,Fort Rozz,{}
"January 22, 2018",Recently Added,The Wall,2016,2,18,Brooke and Cody,"{""hulu""=>[""1209420""]}"
"January 22, 2018",Recently Added,Man With a Plan,2016,2,8,Lice Lice Baby,{}
"January 22, 2018",Recently Added,The Resident,2018,1,2,Independence Day,{}
"January 22, 2018",Recently Added,Street Outlaws,2013,11,8,Episode 8,{}
"January 22, 2018",Recently Added,Superior Donuts,2017,2,10,Labor Pains,{}
"January 22, 2018",Recently Added,Valor,2017,1,12,Oscar Mike,{}
"January 22, 2018",Recently Added,Vanderpump Rules,2013,6,7,It's Not About The Pasta,{}
"January 22, 2018",Recently Added,9JKL,2017,1,14,Fridays With Harry,{}
"January 22, 2018",Recently Added,Better Late Than Never,2016,2,6,Matador Training,"{""hulu""=>[""1209267""]}"
"January 22, 2018",Recently Added,The Brave,2017,1,12,Close to Home: Part 1,"{""hulu""=>[""1209381""]}"
"January 22, 2018",Recently Added,The Good Doctor,2017,1,13,Seven Reasons,"{""hulu""=>[""1209418""]}"
"January 22, 2018",Recently Added,Pawn Stars,2009,15,14,Series Rings and Rap Kings,{}
"January 22, 2018",Recently Added,Scorpion,2014,4,14,Lighthouse of the Rising Sun,{}
"January 22, 2018",Recently Added,Pawn Stars,2009,15,14,Series Rings and Rap Kings,{}
"January 23, 2018",Recently Added,Conan,2010,8,6,"Kathy Bates, Louie Anderson, Tune-Yards",{}
"January 23, 2018",Recently Added,The Daily Show,1996,24,13,Jason Reynolds,{}
"January 23, 2018",Recently Added,The Opposition With Jordan Klepper,2017,1,53,Vicente Fox,{}
"January 23, 2018",Recently Added,The Late Show With Stephen Colbert,2015,4,16,"John Dickerson, Eugene Levy, Midland",{}
"January 23, 2018",Recently Added,The Tonight Show Starring Jimmy Fallon,2014,2018,12,"Alex Rodriguez, Taylor Kitsch, Bebe Rexha featuring Florida Georgia Line",{}
