Scraped Date,Category,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Hash
"February 23, 2018",Recently Added,Marseille,2016,2,1,Episode 1,{}
"February 23, 2018",Recently Added,Seven Seconds,2018,1,10,A Boy and a Bike,"{""netflixusa""=>[""80170975""]}"
"February 23, 2018",Recently Added,Seven Seconds,2018,1,10,A Boy and a Bike,"{""netflixusa""=>[""80170975""]}"
"February 23, 2018",Recently Added,Seven Seconds,2018,1,10,A Boy and a Bike,"{""netflixusa""=>[""80170975""]}"
"February 23, 2018",Recently Added,Seven Seconds,2018,1,10,A Boy and a Bike,"{""netflixusa""=>[""80170975""]}"
"February 23, 2018",Recently Added,Seven Seconds,2018,1,10,A Boy and a Bike,"{""netflixusa""=>[""80170975""]}"
"February 23, 2018",Recently Added,Seven Seconds,2018,1,10,A Boy and a Bike,"{""netflixusa""=>[""80170975""]}"
"February 23, 2018",Recently Added,Seven Seconds,2018,1,10,A Boy and a Bike,"{""netflixusa""=>[""80170975""]}"
"February 23, 2018",Recently Added,Seven Seconds,2018,1,10,A Boy and a Bike,"{""netflixusa""=>[""80170975""]}"
"February 23, 2018",Recently Added,Seven Seconds,2018,1,10,A Boy and a Bike,"{""netflixusa""=>[""80170975""]}"
"February 23, 2018",Recently Added,Seven Seconds,2018,1,10,A Boy and a Bike,"{""netflixusa""=>[""80170975""]}"
"February 23, 2018",Recently Added,The Tick,2016,1,12,The End of the Beginning (Or the Start of the Dawn of the Age of Superhero),"{""amazon""=>[""primesignup"", ""primesignup""]}"
"February 23, 2018",Recently Added,The Tick,2016,1,12,The End of the Beginning (Or the Start of the Dawn of the Age of Superhero),"{""amazon""=>[""primesignup"", ""primesignup""]}"
"February 23, 2018",Recently Added,The Tick,2016,1,12,The End of the Beginning (Or the Start of the Dawn of the Age of Superhero),"{""amazon""=>[""primesignup"", ""primesignup""]}"
"February 23, 2018",Recently Added,The Tick,2016,1,12,The End of the Beginning (Or the Start of the Dawn of the Age of Superhero),"{""amazon""=>[""primesignup"", ""primesignup""]}"
"February 23, 2018",Recently Added,The Tick,2016,1,12,The End of the Beginning (Or the Start of the Dawn of the Age of Superhero),"{""amazon""=>[""primesignup"", ""primesignup""]}"
"February 23, 2018",Recently Added,The Tick,2016,1,12,The End of the Beginning (Or the Start of the Dawn of the Age of Superhero),"{""amazon""=>[""primesignup"", ""primesignup""]}"
"February 24, 2018",Recently Added,The Graham Norton Show,,22,18,Margot Robbie / Allison Janney / Daniel Kaluuya / Alicia Vikander,{}
"February 24, 2018",Recently Added,2018 Winter Olympics,2018,1,16,"Olympics 2018 Prime Time: Bobsled, Figure Skating Gala",{}
"February 24, 2018",Recently Added,Celebrity Big Brother,2018,1,12,Episode 12,{}
"February 23, 2018",Recently Added,Gold Rush,2010,8,23,King Kong,{}
"February 23, 2018",Recently Added,The Trade,2018,1,4,Episode 4,"{""showtimeanytime""=>[""3456321""]}"
"February 23, 2018",Recently Added,Married to Medicine,2013,5,14,D.N.A. D-Day,{}
"February 23, 2018",Recently Added,High Maintenance,2016,2,6,Googie,"{""hbogo""=>[""GWjK2tw1_dI6VPAEAAAGh""]}"
"February 23, 2018",Recently Added,2 Dope Queens,2018,1,4,Black Nerds (aka Blerds),"{""hbogo""=>[""GWi8EAgOzkI6VPAEAAAFX""]}"
