Scraped Date,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Hash
"June 28, 2017",Catfish: The TV Show,2012,6,16,Johnny & Connor,{}
"June 28, 2017",MasterChef,2010,8,5,Shell-Shocked & Scrambled,{}
"June 28, 2017",American Pickers,2010,17,18,Colossal Collections,{}
"June 28, 2017",Kingdom,2014,3,5,Please Give,{}
"June 28, 2017",The Carmichael Show,2015,3,5,Cynthia's Birthday,"{""hulu""=>[""1100526"", ""1101119""], ""amazon""=>[""B072WLRBS1"", ""B072WMZJLL""]}"
"June 28, 2017",The F Word,2017,1,5,Episode 5,{}
"June 28, 2017",The Real Housewives of New York City,2008,9,13,A Bronx Tale,{}
"June 28, 2017",Blood Drive,2017,1,3,Steel City Nightfall,{}
"June 28, 2017",Broadchurch,2017,3,1,Episode 1,{}
"June 28, 2017",Cleverman,2016,2,1,Revival,{}
"June 28, 2017",Lip Sync Battle,2015,3,21,TMI: Salt vs. Pepa,"{""amazon""=>[""B00ZSQG8QQ""]}"
"June 28, 2017",Lip Sync Battle,2015,3,21,TMI: Salt vs. Pepa,"{""amazon""=>[""B00ZSQG8QQ""]}"
"June 28, 2017",Queen Sugar,2016,2,3,What Do I Care For Morning,{}
"June 28, 2017",The Ultimate Fighter,2005,25,11,Embrace the Snake,{}
"June 28, 2017",Younger,2015,4,1,Post Truth,{}
"June 28, 2017",Full Frontal with Samantha Bee,2016,2,13,Episode 13,{}
"June 28, 2017",Lip Sync Battle,2015,3,21,TMI: Salt vs. Pepa,"{""amazon""=>[""B00ZSQG8QQ""]}"
"June 28, 2017",The Late Show With Stephen Colbert,2015,3,105,"Josh Duhamel, Justin Bartha, Brian Greene",{}
"June 28, 2017",The Tonight Show Starring Jimmy Fallon,2014,2017,104,"Kristen Wiig, Paul Dano, Macklemore featuring Skylar Grey",{}
