Scraped Date,Category,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Hash
"September 29, 2017",Recently Added,Chelsea,2016,2,21,Episode 21,{}
"September 29, 2017",Recently Added,Hell's Kitchen,2005,17,1,All-Stars Arrive,{}
"April 14, 2017",Recently Added,MacGyver,2016,1,21,Cigar Cutter,"{""amazon""=>[""B06ZZTF3LS""]}"
"September 29, 2017",Recently Added,Raven's Home,2017,1,10,Fears of a Clown,{}
"May 12, 2017",Recently Added,Hawaii Five-0,2010,7,25,Ua Mau Ke Ea O Ka Aina I Ka Pono,"{""amazon""=>[""B0716TP6JQ"", ""B071Z4G4MK""]}"
"September 29, 2017",Recently Added,The Exorcist,2016,2,1,Janus,{}
"September 29, 2017",Recently Added,Z Nation,2014,4,1,Warren's Dream,{}
"May 5, 2017",Recently Added,Blue Bloods,2010,7,22,The Thin Blue Line,"{""hulu""=>[""1106688""], ""amazon""=>[""B0711FJ5J6"", ""B071VFVZFQ""]}"
"September 22, 2017",Recently Added,Room 104,2017,1,9,Boris,"{""hbogo""=>[""GWW9vIAMIaq2PtwEAAAAJ""]}"
"September 28, 2017",Recently Added,The Late Show With Stephen Colbert,2015,3,149,"Steve Martin, Mark Feuerstein, Steve Martin & the Steep Canyon Rangers",{}
"September 28, 2017",Recently Added,The Tonight Show Starring Jimmy Fallon,2014,2017,149,"Harrison Ford, Rachel Maddow, Charli XCX",{}
