Scraped Date,category,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Links,Result,Error,Program ID,Date Validated
"March 23, 2017",Recently Added,Baskets,2017,2,10,Circus,"{""amazon""=>[""B06XS5FB8R"", ""B06XS5F8X5""]}",PASS,NO Error,2017-07-26,,,,,
"June 25, 2017",Recently Added,The Handmaid's Tale,2017,1,10,Night,"{""hulu""=>[""1092255""]}",Prg_id obtained in search:PASS,NO Error,2017-09-18,,,,,
"June 18, 2017",Recently Added,I'm Dying Up Here,2017,1,3,The Cost of a Free Buffet,"{""showtimeanytime""=>[""3433213""]}",PASS,NO Error,2017-07-26,,,,,
"June 18, 2017",Recently Added,Silicon Valley,2014,4,9,Hooli-Con,"{""hbogo""=>[""GWP5b1Qa2qz1owwEAAAAR""]}",PASS,NO Error,2017-07-26,,,,,
"June 18, 2017",Recently Added,Veep,2012,6,9,A Woman First,"{""hbogo""=>[""GWP5bxQYzHqezVAEAAAAJ""]}",PASS,NO Error,2017-07-26,,,,,
"June 28, 2017",Recently Added,The Carmichael Show,2015,3,5,Cynthia's Birthday,"{""hulu""=>[""1100526""], ""amazon""=>[""B072WLRBS1"", ""B072WMZJLL""]}",Prg_id obtained in search:PASS,NO Error,2017-09-18,,,,,
"June 28, 2017",Recently Added,Lip Sync Battle,2015,3,21,TMI: Salt vs. Pepa,"{""amazon""=>[""B00ZSQG8QQ""]}",Series got mapped but Episode Title didn't matched:FAIL,NA,NA,2018-01-04
"June 18, 2017",Recently Added,The Real Housewives of Potomac,2016,2,11,The Grand Dame Sham,"{""itunes""=>[""1248475104""], ""amazon""=>[""B072R61DZQ"", ""B0721V43V7""]}",PASS,NO Error,2017-07-26,,,,,
"June 24, 2017",Recently Added,American Grit,2016,2,3,Liar Liar,"{""hulu""=>[""1103950""], ""amazon""=>[""B0733NSWPL"", ""B0733NYFQN""]}",Prg_id obtained in search:PASS,NO Error,2017-09-18,,,,,
"June 25, 2017",Recently Added,Botched,2014,4,2,Comic Proportions,"{""amazon""=>[""B0739QZRMB"", ""B0739QG3G5""]}",PASS,NO Error,2017-07-26,,,,,
"June 25, 2017",Recently Added,Claws,2017,1,3,Quicksand,"{""amazon""=>[""B0739RBGNH"", ""B0739NF8S3""]}",PASS,NO Error,2017-07-26,,,,,
"June 25, 2017",Recently Added,Fear the Walking Dead,2015,3,5,"Burning in Water, Drowning in Flame","{""amazon""=>[""B0735KJVV6"", ""B0735LX77Z""]}",PASS,NO Error,2017-07-26,,,,,
"June 25, 2017",Recently Added,Good Witch,2008,3,9,"Not Getting Married Today, Part 1","{""amazon""=>[""B0733MWNFR"", ""B0733NQYVG""]}","series didn't mapped as release year of series,S1E1,airdate of S1E1 didn't mapped with input release year:FAIL",NA,NA,2018-01-04
"June 26, 2017",Recently Added,American Ninja Warrior,2010,9,3,Daytona Beach Qualifiers,"{""hulu""=>[""1104745""], ""amazon""=>[""B073B2G8MD"", ""B073B31V9Y""]}",Prg_id obtained in search:PASS,NO Error,2017-11-26,,,,,
"January 20, 2017",Recently Added,Degrassi: Next Class,2017,3,10,#ImSleep,"{""netflixusa""=>[""80113826""]}",PASS,NO Error,2017-07-26,,,,,
"June 26, 2017",Recently Added,Preacher,2016,2,2,Mumbai Sky Tower,"{""amazon""=>[""B07363TZ5P"", ""B07363MS64""]}",PASS,NO Error,2017-07-26,,,,,
"June 27, 2017",Recently Added,Chopped,2009,34,6,Snap Pea to It!,"{""amazon""=>[""B073F25D2Y"", ""B073F2V4NC""]}",PASS,NO Error,2017-07-26,,,,,
"January 20, 2017",Recently Added,Degrassi: Next Class,2017,3,10,#ImSleep,"{""netflixusa""=>[""80113826""]}",PASS,NO Error,2017-07-26,,,,,
"June 28, 2017",Recently Added,The Carmichael Show,2015,3,5,Cynthia's Birthday,"{""hulu""=>[""1100526""], ""amazon""=>[""B072WLRBS1"", ""B072WMZJLL""]}",Prg_id obtained in search:PASS,NO Error,2017-09-18,,,,,
"June 28, 2017",Recently Added,Blood Drive,2017,1,3,Steel City Nightfall,"{""amazon""=>[""B073FGYHTJ"", ""B073FH3737""]}",PASS,NO Error,2017-07-26,,,,,
"June 28, 2017",Recently Added,Queen Sugar,2016,2,3,What Do I Care For Morning,"{""amazon""=>[""B073G1SJFL"", ""B073FY8JMJ""]}",PASS,NO Error,2017-07-26,,,,,
"June 28, 2017",Recently Added,Younger,2015,4,1,Post Truth,"{""amazon""=>[""B073FHV848"", ""B073FJC5PB""]}",PASS,NO Error,2017-07-26,,,,,
"January 20, 2017",Recently Added,Degrassi: Next Class,2017,3,10,#ImSleep,"{""netflixusa""=>[""80113826""]}",PASS,NO Error,2017-07-26,,,,,
"June 29, 2017",Recently Added,Married At First Sight,2014,5,12,One Month Anniversary,"{""itunes""=>[""1253393759""], ""amazon""=>[""B073G2FFC5"", ""B073FYB4BJ""]}",PASS,NO Error,2017-07-26,,,,,
"June 29, 2017",Recently Added,Million Dollar Listing New York,2012,6,6,"Ice, Ice, Ryan","{""itunes""=>[""1253879686""], ""amazon""=>[""B073GY1XH6"", ""B073GY1YFG""]}",PASS,NO Error,2017-07-26,,,,,
"June 29, 2017",Recently Added,Nashville,2012,5,16,Not Ready to Make Nice,"{""hulu""=>[""1106069""], ""amazon""=>[""B073HNKZ85"", ""B073HMMD2G""]}",PASS,NO Error,2017-07-26,,,,,
"June 29, 2017",Recently Added,The Wall,2016,2,2,Lenny and Sharon,"{""hulu""=>[""1107049""]}",PASS,NO Error,2017-07-26,,,,,
